Date,Time (utc),Region,Magnitude,Depth (km),Latitude,Longitude,Mode,Map
23/06/2024,04:51:49,"Mindanao, Philippine",4.8,342,8.01 N,125.20 E,A,-
23/06/2024,03:58:03,Near Coast of Venezuela,5.9,105,10.80 N,62.65 W,A,-
23/06/2024,03:12:08,"Near East Coast of Honshu, japan",5.0,55,37.16 N,141.09 E,A,-
22/06/2024,20:46:51,Near Coast of Peru,5.3,64,15.79 S,74.47 W,A,-
22/06/2024,18:08:44,Afghanistan-Tajikistan Border Region,3.8,179,36.36 N,71.45 E,M,-
22/06/2024,00:41:46,"Luzon, Philippines",5.3,10,13.89 N,124.97 E,A,-
22/06/2024,00:35:08,Tonga Islands,4.9,488,17.95 S,174.73 W,A,-
22/06/2024,00:33:34,"Near East Coast of Honshu, Japan",4.4,10,36.30 N,141.34 E,A,-
21/06/2024,19:03:06,"Mindanao, Philippine",5.0,10,8.73 N,126.84 E,A,-
21/06/2024,06:09:35,"Crete, Greece",4.7,116,35.53 N,23.74 E,A,-
21/06/2024,00:11:12,"West Papua, Indonesia",5.0,44,3.41 S,139.75 E,A,-
20/06/2024,20:58:59,"Sakhalin, Russia",4.6,54,47.34 N,143.24 E,A,-
20/06/2024,18:52:45,South of Fiji Islands,5.0,414,24.01 S,178.90 W,A,-
20/06/2024,14:11:40,Turkmenistan,4.4,12,40.60 N,52.82 E,A,-
20/06/2024,11:36:14,Kyrgyzstan-Xinjiang Border Region,5.2,15,40.27 N,77.62 E,A,-
20/06/2024,11:30:14,Afghanistan-Tajikistan Border Region,3.7,131,37.23 N,71.67 E,M,-
20/06/2024,05:37:55,"Near East Coast of Honshu, Japan",5.0,10,40.30 N,142.05 E,A,-
19/06/2024,19:28:16,"Southern Sumatra, Indonesia",4.5,201,2.33 S,99.56 E,A,-
19/06/2024,18:09:48,49km NW of Chilas,3.2,22,35.59 N,73.60 E,M,-
19/06/2024,16:59:27,"Southern Xinjiang, China",5.1,10,40.71 N,84.33 E,A,-
19/06/2024,16:46:28,32km SW of Karachi,3.2,42,24.62 N,66.88 E,M,-
19/06/2024,12:48:11,Western Xizang India Border Region,3.9,144,31.72 N,79.12 E,M,-
19/06/2024,04:17:39,Southeastern Afghanistan,4.7,98,34.86 N,70.21 E,A,-
19/06/2024,03:58:59,Afghanistan-Tajikistan Border Region,4.4,145,36.52 N,71.52 E,M,-
18/06/2024,21:43:14,Vanuatu Islands Region,4.9,453,19.33 S,167.59 E,A,-
18/06/2024,20:27:33,Afghanistan-Tajikstan Border Region,3.3,80,36.73 N,72.73 E,M,-
18/06/2024,18:05:02,"14km NE of Bhimbhar, AJK",3.0,18,33.07 N,74.17 E,M,-
18/06/2024,17:34:46,Northwestern Kashmir (100km NE of Gilgit),3.4,18,36.77 N,74.67 E,M,-
18/06/2024,13:42:56,"Xizang, China",4.3,12,35.05 N,87.74 E,A,-
18/06/2024,09:54:51,Northern and Central Iran,4.6,45,35.25 N,58.59 E,A,-
18/06/2024,06:40:33,Tonga Islands,5.7,95,16.64 S,173.64 W,A,-
18/06/2024,02:53:35,Afghanistan-Tajikstan Border Region,3.4,164,36.62 N,71.40 E,M,-
17/06/2024,20:12:28,Kyrgyzstan,4.3,136,42.19 N,72.12 E,M,-
17/06/2024,15:35:07,Northwestern Kahmir,3.3,28,35.75 N,73.30 E,M,-
17/06/2024,14:09:50,Santa Cruz Islands,5.7,90,11.48 S,166.23 E,A,-
17/06/2024,08:47:21,46 Km Northwest of Zhob,3.3,30,31.64 N,69.09 E,M,-
17/06/2024,02:33:10,Northwestern Kashmir (60km NE of Gilgit),3.6,28,36.37 N,74.60 E,M,-
16/06/2024,21:17:21,Mariana Islands,5.3,212,18.78 N,145.78 E,A,-
16/06/2024,16:24:11,Komandorsky Islands Region,5.1,10,54.29 N,166.07 E,A,-
16/06/2024,15:42:40,Northwestern Caucasus,4.2,6,42.55 N,43.41 E,A,-
16/06/2024,14:47:35,Near Coast of Peru,5.8,35,15.82 S,74.41 W,A,-
16/06/2024,14:08:14,Fiji Island Region,5.1,567,21.62 S,179.27 W,A,-
16/06/2024,11:49:16,"Mindanao, Philippine",4.6,147,5.48 N,125.90 E,A,-
16/06/2024,07:58:41,Tajikistan,3.8,125,37.93 N,72.52 E,M,-
16/06/2024,05:39:06,"Southern Xinjiang, China",4.8,107,39.19 N,74.89 E,A,-
15/06/2024,20:15:36,Tajikistan-Xinjiang Border Region,3.1,113,38.55 N,73.37 E,M,-
15/06/2024,18:38:17,Mid Indian Ridge,4.8,117,40.62 S,78.29 E,A,-
15/06/2024,17:50:54,South sandwich islands Region,5.6,122,55.84 N,28.20 W,A,-
15/06/2024,15:31:05,"Southern Sumatra, Indonesia",4.4,60,4.42 S,103.06 E,A,-
15/06/2024,14:59:14,"Bonin Islands, Japan Region",4.9,25,27.20 N,143.16 E,A,-
15/06/2024,14:48:47,"Western Caroline Islands, Micronesia",4.9,110,7.86 N,137.48 E,A,-
15/06/2024,14:24:31,"Southern Xinjiang, China",4.6,279,39.96 N,76.97 E,A,-
15/06/2024,13:40:00,"Hindu Kush Region, Afghanistan",4.6,185,36.27 N,70.95 E,M,-
15/06/2024,13:08:11,"Talaud Islands, Indonesia",5.7,10,3.35 N,127.19 E,A,-
15/06/2024,07:12:08,"Hindu Kush Region, Afghanistan",3.7,185,36.59 N,70.39 E,M,-
15/06/2024,05:34:18,90 Km Northwest of Rajanpur,4.2,149,29.70 N,69.67 E,A,-
15/06/2024,00:37:13,Afghanistan-Tajikstan Border Region,3.5,111,37.12 N,71.33 E,M,-
14/06/2024,23:47:43,"Southern Sumatra, Indonesia",5.0,10,5.78 S,102.99 E,A,-
14/06/2024,23:24:21,Xizang,4.4,10,34.13 N,86.43 E,A,-
14/06/2024,20:53:18,Tajikistan,3.5,184,37.27 N,72.27 E,M,-
14/06/2024,18:24:16,Afghanistan-Tajikistan Border Region,2.8,99,36.85 N,71.59 E,M,-
14/06/2024,09:51:56,Southern Mid-Atlantic Ridge,5.7,16,31.31 S,14.32 W,A,-
14/06/2024,08:20:21,"Hindu Kush Region, Afghanistan",3.8,94,35.82 N,69.79 E,M,-
14/06/2024,05:40:10,"Southern Sumatra, Indonesia",5.2,185,0.13 S,100.17 E,A,-
14/06/2024,04:26:49,Southern Mid-Atlantic Ridge,6.0,15,31.10 S,13.82 W,A,-
14/06/2024,04:23:54,"Hindu Kush Region, Afghanistan",3.6,195,36.33 N,69.59 E,M,-
13/06/2024,21:38:04,Mariana Island Region,5.2,86,19.08 N,146.08 E,A,-
13/06/2024,17:12:53,South of Fiji Islands,5.2,125,22.62 S,176.38 W,A,-
