Event;Year;Location;Division;Name;Country;Place
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Team;Brazil;BRA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Team;Hawaii;HAW;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Team;Australia;AUS;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Team;France;FRA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Masters 40+ Men;Diego Rosa;BRA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Masters 40+ Men;Gilbert brown;CRI;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Masters 40+ Men;Tyrell Johnson;ZAF;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Masters 40+ Men;Hira Teriinatoofa;TAH;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Masters 40+ Women;"Melanie Bartels
";HAW;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Masters 40+ Women;Serena Brooke;AUS;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Masters 40+ Women;Jacqueline Silva;BRA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Masters 40+ Women;Lisbeth Vindas;CRI;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Grand Masters 50+ Men;Scott Schindler;AUS;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Grand Masters 50+ Men;Jojó de Olivença;BRA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Grand Masters 50+ Men;Pablo Diaz;PRI;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Grand Masters 50+ Men;Dani Garcia;ESP;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Grand Masters 50+ Women;Rochelle Ballard;HAW;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Grand Masters 50+ Women;Heather Clark;ZAF;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Grand Masters 50+ Women;Andrea Lopes;BRA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Grand Masters 50+ Women;Siri Cota;USA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Kahunas 60+ Men;Eric Graciet;FRA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Kahunas 60+ Men;Rodney Baldwin;AUS;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Kahunas 60+ Men;Allen Sarlo;USA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Kahunas 60+ Men;Shuji Kasuya;HAW;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Kahunas 60+ Women;Becky Benson;HAW;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Kahunas 60+ Women;Roberta Borges;BRA;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Kahunas 60+ Women;Barbara Roettger;PRI;
ISA World Masters Surfing Championship;2024;El Sunzal, El Salvador;Kahunas 60+ Women;Sandra GBRlish;AUS;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Team;Spain;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Team;Japan;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Team;France;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Team;Italy;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race SUP Men;Rai Taguchi;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race SUP Men;Aaron Sanchez;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race SUP Men;Ricardo Rossi;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race SUP Men;Clément Colmas;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race SUP Women;Duna Gordillo;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race SUP Women;Esperanza Barreras;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race SUP Women;Maricarmen Rivera;PRI;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race SUP Women;Anais Guyomarch;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Sprint SUP Race Men;David Leão;BRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Sprint SUP Race Men;Manuel Hoyuela;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Sprint SUP Race Men;Noic Garioud;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Sprint SUP Race Men;Christian Andersen;DNK;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Sprint SUP Race Women;Alba Alonso;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Sprint SUP Race Women;Cecilia Pampinella;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Sprint SUP Race Women;Mélanie Lafenetre;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Sprint SUP Race Women;Mariecarmen Rivera;PRI;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race SUP Men;Rai Taguchi;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race SUP Men;Clément Colmas;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race SUP Men;Kotaro Miyahira;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race SUP Men;Ethan Bry;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race SUP Women;Esperanza Barreras;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race SUP Women;Mariecarmen Rivera;PRI;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race SUP Women;Duna Gordillo;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Distance Race SUP Women;Rika Okuaki;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Boys;Kotaro Miyahira;JPN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Boys;Lluis Peroti;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Boys;Vaic Garioud;FRA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Boys;Nicolo Ricco;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Girls;Csillag-Virag Kocsis;HUN;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Girls;Alexia Soto;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Girls;Soryn Preston;USA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Junior Girls;Cecilia Pampinella;ITA;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Men;Andrew Byatt;GBR;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Men;Baptiste Cochard FRA;;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Men;Carlos Alonso;ESP;
ISA World SUP And Paddleboard Championship;2024;Copenhagen, DNKmark;Tech Race Prone Men;Oisin McGrath;IRL;
