"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"Inception","2010","PG-13","2h 28min","Action; Adventure; Sci-Fi; ","16 July 2010 (USA)","8.8","1981675","3820","https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey="
"The Lord of the Rings: The Fellowship of the Ring","2001","PG-13","2h 58min","Action; Adventure; Drama; ","19 December 2001 (USA)","8.8","1609165","5365","https://www.imdb.com/title/tt0120737/reviews/_ajax?ref_=undefined&paginationKey="
"The Lord of the Rings: The Return of the King","2003","PG-13","3h 21min","Adventure; Drama; Fantasy; ","17 December 2003 (USA)","8.9","1593859","3681","https://www.imdb.com/title/tt0167260/reviews/_ajax?ref_=undefined&paginationKey="
"The Dark Knight Rises","2012","PG-13","2h 44min","Action; Adventure; ","20 July 2012 (USA)","8.4","1470329","2979","https://www.imdb.com/title/tt1345836/reviews/_ajax?ref_=undefined&paginationKey="
"The Lord of the Rings: The Two Towers","2002","PG-13","2h 59min","Adventure; Drama; Fantasy; ","18 December 2002 (USA)","8.7","1440188","2559","https://www.imdb.com/title/tt0167261/reviews/_ajax?ref_=undefined&paginationKey="
"Interstellar","2014","PG-13","2h 49min","Adventure; Drama; Sci-Fi; ","7 November 2014 (USA)","8.6","1430797","3977","https://www.imdb.com/title/tt0816692/reviews/_ajax?ref_=undefined&paginationKey="
"Gladiator","2000","R","2h 35min","Action; Adventure; Drama; ","5 May 2000 (USA)","8.5","1297718","2636","https://www.imdb.com/title/tt0172495/reviews/_ajax?ref_=undefined&paginationKey="
"Batman Begins","2005","PG-13","2h 20min","Action; Adventure; ","15 June 2005 (USA)","8.2","1269027","2885","https://www.imdb.com/title/tt0372784/reviews/_ajax?ref_=undefined&paginationKey="
"The Avengers","2012","PG-13","2h 23min","Action; Adventure; Sci-Fi; ","4 May 2012 (USA)","8.0","1236048","1929","https://www.imdb.com/title/tt0848228/reviews/_ajax?ref_=undefined&paginationKey="
"Inglourious Basterds","2009","R","2h 33min","Adventure; Drama; War; ","21 August 2009 (USA)","8.3","1219372","1856","https://www.imdb.com/title/tt0361748/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode IV - A New Hope","1977","PG","2h 1min","Action; Adventure; Fantasy; ","25 May 1977 (USA)","8.6","1197132","1834","https://www.imdb.com/title/tt0076759/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode V - The Empire Strikes Back","1980","PG","2h 4min","Action; Adventure; Fantasy; ","20 June 1980 (USA)","8.7","1124834","1214","https://www.imdb.com/title/tt0080684/reviews/_ajax?ref_=undefined&paginationKey="
"Avatar","2009","PG-13","2h 42min","Action; Adventure; Fantasy; ","18 December 2009 (USA)","7.8","1096125","3415","https://www.imdb.com/title/tt0499549/reviews/_ajax?ref_=undefined&paginationKey="
"Guardians of the Galaxy","2014","PG-13","2h 1min","Action; Adventure; Comedy; ","1 August 2014 (USA)","8.0","1017405","1390","https://www.imdb.com/title/tt2015381/reviews/_ajax?ref_=undefined&paginationKey="
"Back to the Future","1985","PG","1h 56min","Adventure; Comedy; Sci-Fi; ","3 July 1985 (USA)","8.5","1015004","1176","https://www.imdb.com/title/tt0088763/reviews/_ajax?ref_=undefined&paginationKey="
"Pirates of the Caribbean: The Curse of the Black Pearl","2003","PG-13","2h 23min","Action; Adventure; Fantasy; ","9 July 2003 (USA)","8.0","997264","2186","https://www.imdb.com/title/tt0325980/reviews/_ajax?ref_=undefined&paginationKey="
"WALL·E","2008","G","1h 38min","Animation; Adventure; ","27 June 2008 (USA)","8.4","967917","1268","https://www.imdb.com/title/tt0910970/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode VI - Return of the Jedi","1983","PG","2h 11min","Action; Adventure; Fantasy; ","25 May 1983 (USA)","8.3","922278","828","https://www.imdb.com/title/tt0086190/reviews/_ajax?ref_=undefined&paginationKey="
"Finding Nemo","2003","G","1h 40min","Animation; Adventure; Comedy; ","30 May 2003 (USA)","8.1","922080","968","https://www.imdb.com/title/tt0266543/reviews/_ajax?ref_=undefined&paginationKey="
"Iron Man","2008","PG-13","2h 6min","Action; Adventure; Sci-Fi; ","2 May 2008 (USA)","7.9","915640","1319","https://www.imdb.com/title/tt0371746/reviews/_ajax?ref_=undefined&paginationKey="
"The Lion King","1994","G","1h 28min","Animation; Adventure; Drama; ","24 June 1994 (USA)","8.5","910179","1009","https://www.imdb.com/title/tt0110357/reviews/_ajax?ref_=undefined&paginationKey="
"Up","2009","PG","1h 36min","Animation; Adventure; Comedy; ","29 May 2009 (USA)","8.2","905044","891","https://www.imdb.com/title/tt1049413/reviews/_ajax?ref_=undefined&paginationKey="
"Deadpool","2016","R","1h 48min","Action; Adventure; Comedy; ","12 February 2016 (USA)","8.0","876091","1440","https://www.imdb.com/title/tt1431045/reviews/_ajax?ref_=undefined&paginationKey="
