"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"WALL·E","2008","G","1h 38min","Animation; Adventure; ","27 June 2008 (USA)","8.4","967917","1268","https://www.imdb.com/title/tt0910970/reviews/_ajax?ref_=undefined&paginationKey="
"Finding Nemo","2003","G","1h 40min","Animation; Adventure; Comedy; ","30 May 2003 (USA)","8.1","922080","968","https://www.imdb.com/title/tt0266543/reviews/_ajax?ref_=undefined&paginationKey="
"The Lion King","1994","G","1h 28min","Animation; Adventure; Drama; ","24 June 1994 (USA)","8.5","910179","1009","https://www.imdb.com/title/tt0110357/reviews/_ajax?ref_=undefined&paginationKey="
"Up","2009","PG","1h 36min","Animation; Adventure; Comedy; ","29 May 2009 (USA)","8.2","905044","891","https://www.imdb.com/title/tt1049413/reviews/_ajax?ref_=undefined&paginationKey="
"Toy Story","1995","G","1h 21min","Animation; Adventure; Comedy; ","22 November 1995 (USA)","8.3","858215","606","https://www.imdb.com/title/tt0114709/reviews/_ajax?ref_=undefined&paginationKey="
"Monsters, Inc.","2001","G","1h 32min","Animation; Adventure; Comedy; ","2 November 2001 (USA)","8.0","789773","680","https://www.imdb.com/title/tt0198781/reviews/_ajax?ref_=undefined&paginationKey="
"Toy Story 3","2010","G","1h 43min","Animation; Adventure; Comedy; ","18 June 2010 (USA)","8.3","734948","884","https://www.imdb.com/title/tt0435761/reviews/_ajax?ref_=undefined&paginationKey="
"How to Train Your Dragon","2010","PG","1h 38min","Animation; Action; Adventure; ","26 March 2010 (USA)","8.1","647266","626","https://www.imdb.com/title/tt0892769/reviews/_ajax?ref_=undefined&paginationKey="
"The Incredibles","2004","PG","1h 55min","Animation; Action; Adventure; ","5 November 2004 (USA)","8.0","638952","946","https://www.imdb.com/title/tt0317705/reviews/_ajax?ref_=undefined&paginationKey="
"Ratatouille","2007","G","1h 51min","Animation; Adventure; Comedy; ","29 June 2007 (USA)","8.0","620375","741","https://www.imdb.com/title/tt0382932/reviews/_ajax?ref_=undefined&paginationKey="
"Spirited Away","2001","PG","2h 5min","Animation; Adventure; ","28 March 2003 (USA)","8.6","618550","1287","https://www.imdb.com/title/tt0245429/reviews/_ajax?ref_=undefined&paginationKey="
"Shrek","2001","PG","1h 30min","Animation; Adventure; Comedy; ","18 May 2001 (USA)","7.8","596499","1062","https://www.imdb.com/title/tt0126029/reviews/_ajax?ref_=undefined&paginationKey="
"Inside Out","2015","PG","1h 35min","Animation; Adventure; Comedy; ","19 June 2015 (USA)","8.1","586923","1027","https://www.imdb.com/title/tt2096673/reviews/_ajax?ref_=undefined&paginationKey="
"Frozen","2013","PG","1h 42min","Animation; Adventure; Comedy; ","27 November 2013 (USA)","7.4","557241","1109","https://www.imdb.com/title/tt2294629/reviews/_ajax?ref_=undefined&paginationKey="
"Toy Story 2","1999","G","1h 32min","Animation; Adventure; Comedy; ","24 November 1999 (USA)","7.9","511239","611","https://www.imdb.com/title/tt0120363/reviews/_ajax?ref_=undefined&paginationKey="
"Despicable Me","2010","PG","1h 35min","Animation; Comedy; ","9 July 2010 (USA)","7.6","488575","359","https://www.imdb.com/title/tt1323594/reviews/_ajax?ref_=undefined&paginationKey="
"Ice Age","2002","PG","1h 21min","Animation; Adventure; Comedy; ","15 March 2002 (USA)","7.5","428802","491","https://www.imdb.com/title/tt0268380/reviews/_ajax?ref_=undefined&paginationKey="
"Zootopia","2016","PG","1h 48min","Animation; Adventure; Comedy; ","4 March 2016 (USA)","8.0","417226","710","https://www.imdb.com/title/tt2948356/reviews/_ajax?ref_=undefined&paginationKey="
