"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"Guardians of the Galaxy","2014","PG-13","2h 1min","Comedy; ","1 August 2014 (USA)","8.0","1017578","1390","https://www.imdb.com/title/tt2015381/reviews/_ajax?ref_=undefined&paginationKey="
"Back to the Future","1985","PG","1h 56min","Comedy; ","3 July 1985 (USA)","8.5","1015437","1178","https://www.imdb.com/title/tt0088763/reviews/_ajax?ref_=undefined&paginationKey="
"Finding Nemo","2003","G","1h 40min","Comedy; ","30 May 2003 (USA)","8.1","922237","968","https://www.imdb.com/title/tt0266543/reviews/_ajax?ref_=undefined&paginationKey="
"Up","2009","PG","1h 36min","Comedy; ","29 May 2009 (USA)","8.2","905205","891","https://www.imdb.com/title/tt1049413/reviews/_ajax?ref_=undefined&paginationKey="
"The Truman Show","1998","PG","1h 43min","Comedy; ","5 June 1998 (USA)","8.1","901368","1152","https://www.imdb.com/title/tt0120382/reviews/_ajax?ref_=undefined&paginationKey="
"Deadpool","2016","R","1h 48min","Comedy; ","12 February 2016 (USA)","8.0","876235","1440","https://www.imdb.com/title/tt1431045/reviews/_ajax?ref_=undefined&paginationKey="
"Toy Story","1995","G","1h 21min","Comedy; ","22 November 1995 (USA)","8.3","858390","606","https://www.imdb.com/title/tt0114709/reviews/_ajax?ref_=undefined&paginationKey="
"Monsters, Inc.","2001","G","1h 32min","Comedy; ","2 November 2001 (USA)","8.0","789914","681","https://www.imdb.com/title/tt0198781/reviews/_ajax?ref_=undefined&paginationKey="
"Snatch","2000","R","1h 42min","Comedy; ","19 January 2001 (USA)","8.3","761777","837","https://www.imdb.com/title/tt0208092/reviews/_ajax?ref_=undefined&paginationKey="
"Toy Story 3","2010","G","1h 43min","Comedy; ","18 June 2010 (USA)","8.3","735087","884","https://www.imdb.com/title/tt0435761/reviews/_ajax?ref_=undefined&paginationKey="
"The Intouchables","2011","R","1h 52min","Comedy; ","13 July 2012 (India)","8.5","731286","622","https://www.imdb.com/title/tt1675434/reviews/_ajax?ref_=undefined&paginationKey="
"The Big Lebowski","1998","R","1h 57min","Comedy; ","6 March 1998 (USA)","8.1","706193","1225","https://www.imdb.com/title/tt0118715/reviews/_ajax?ref_=undefined&paginationKey="
"The Hangover","2009","R","1h 40min","Comedy; ","5 June 2009 (USA)","7.7","702442","718","https://www.imdb.com/title/tt1119646/reviews/_ajax?ref_=undefined&paginationKey="
"Amélie","2001","R","2h 2min","Comedy; Romance; ","8 February 2002 (USA)","8.3","686825","1481","https://www.imdb.com/title/tt0211915/reviews/_ajax?ref_=undefined&paginationKey="
"The Grand Budapest Hotel","2014","R","1h 39min","Comedy; ","28 March 2014 (USA)","8.1","682068","865","https://www.imdb.com/title/tt2278388/reviews/_ajax?ref_=undefined&paginationKey="
"Silver Linings Playbook","2012","R","2h 2min","Comedy; Romance; ","25 December 2012 (USA)","7.7","648078","836","https://www.imdb.com/title/tt1045658/reviews/_ajax?ref_=undefined&paginationKey="
"Ratatouille","2007","G","1h 51min","Comedy; ","29 June 2007 (USA)","8.0","620481","741","https://www.imdb.com/title/tt0382932/reviews/_ajax?ref_=undefined&paginationKey="
