name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=
Pulp Fiction,1994,R,2h 34min,Crime; Drama; ,14 October 1994 (USA),8.9,1767445,3014,https://www.imdb.com/title/tt0110912/reviews/_ajax?ref_=undefined&paginationKey=
The Godfather,1972,R,2h 55min,Crime; Drama; ,24 March 1972 (USA),9.2,1558661,3886,https://www.imdb.com/title/tt0068646/reviews/_ajax?ref_=undefined&paginationKey=
Se7en,1995,R,2h 7min,Crime; Drama; Mystery; ,22 September 1995 (USA),8.6,1390231,1460,https://www.imdb.com/title/tt0114369/reviews/_ajax?ref_=undefined&paginationKey=
The Silence of the Lambs,1991,R,1h 58min,Crime; Drama; Thriller; ,14 February 1991 (USA),8.6,1223451,1298,https://www.imdb.com/title/tt0102926/reviews/_ajax?ref_=undefined&paginationKey=
The Departed,2006,R,2h 31min,Crime; Drama; Thriller; ,6 October 2006 (USA),8.5,1150788,2313,https://www.imdb.com/title/tt0407887/reviews/_ajax?ref_=undefined&paginationKey=
The Wolf of Wall Street,2013,R,3h,Biography; Crime; Drama; ,25 December 2013 (USA),8.2,1128148,1436,https://www.imdb.com/title/tt0993846/reviews/_ajax?ref_=undefined&paginationKey=
The Green Mile,1999,R,3h 9min,Crime; Drama; Fantasy; ,10 December 1999 (USA),8.6,1101707,1725,https://www.imdb.com/title/tt0120689/reviews/_ajax?ref_=undefined&paginationKey=
The Godfather: Part II,1974,R,3h 22min,Crime; Drama; ,18 December 1974 (USA),9,1089268,1007,https://www.imdb.com/title/tt0071562/reviews/_ajax?ref_=undefined&paginationKey=
Léon: The Professional,1994,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5,999596,1193,https://www.imdb.com/title/tt0110413/reviews/_ajax?ref_=undefined&paginationKey=
Goodfellas,1990,R,2h 26min,Biography; Crime; Drama; ,21 September 1990 (USA),8.7,982784,1296,https://www.imdb.com/title/tt0099685/reviews/_ajax?ref_=undefined&paginationKey=
Kill Bill: Vol. 1,2003,R,1h 51min,Action; Crime; Thriller; ,10 October 2003 (USA),8.1,970439,2272,https://www.imdb.com/title/tt0266697/reviews/_ajax?ref_=undefined&paginationKey=
The Usual Suspects,1995,R,1h 46min,Crime; Mystery; Thriller; ,16 August 1995 (USA),8.5,961807,1355,https://www.imdb.com/title/tt0114814/reviews/_ajax?ref_=undefined&paginationKey=
Reservoir Dogs,1992,R,1h 39min,Crime; Drama; Thriller; ,2 September 1992 (France),8.3,889962,1145,https://www.imdb.com/title/tt0105236/reviews/_ajax?ref_=undefined&paginationKey=
No Country for Old Men,2007,R,2h 2min,Crime; Drama; Thriller; ,21 November 2007 (USA),8.1,823136,1824,https://www.imdb.com/title/tt0477348/reviews/_ajax?ref_=undefined&paginationKey=
Joker,2019,R,2h 2min,Crime; Drama; Thriller; ,4 October 2019 (USA),8.5,822351,10279,https://www.imdb.com/title/tt7286456/reviews/_ajax?ref_=undefined&paginationKey=
Catch Me If You Can,2002,PG-13,2h 21min,Biography; Crime; Drama; ,25 December 2002 (USA),8.1,790873,828,https://www.imdb.com/title/tt0264464/reviews/_ajax?ref_=undefined&paginationKey=
Snatch,2000,R,1h 42min,Comedy; Crime; ,19 January 2001 (USA),8.3,761662,837,https://www.imdb.com/title/tt0208092/reviews/_ajax?ref_=undefined&paginationKey=
A Clockwork Orange,1971,R,2h 16min,Crime; Drama; Sci-Fi; ,2 February 1972 (USA),8.3,735080,1553,https://www.imdb.com/title/tt0066921/reviews/_ajax?ref_=undefined&paginationKey=
Sin City,2005,R,2h 4min,Crime; Thriller; ,1 April 2005 (USA),8,731417,1777,https://www.imdb.com/title/tt0401792/reviews/_ajax?ref_=undefined&paginationKey=
Scarface,1983,R,2h 50min,Crime; Drama; ,9 December 1983 (USA),8.3,715023,1029,https://www.imdb.com/title/tt0086250/reviews/_ajax?ref_=undefined&paginationKey=
The Big Lebowski,1998,R,1h 57min,Comedy; Crime; Sport; ,6 March 1998 (USA),8.1,705941,1225,https://www.imdb.com/title/tt0118715/reviews/_ajax?ref_=undefined&paginationKey=
Taxi Driver,1976,R,1h 54min,Crime; Drama; ,9 February 1976 (USA),8.3,696631,1161,https://www.imdb.com/title/tt0075314/reviews/_ajax?ref_=undefined&paginationKey=
City of God,2002,R,2h 10min,Crime; Drama; ,13 February 2004 (USA),8.6,681961,997,https://www.imdb.com/title/tt0317248/reviews/_ajax?ref_=undefined&paginationKey=
The Grand Budapest Hotel,2014,R,1h 39min,Adventure; Comedy; Crime; ,28 March 2014 (USA),8.1,681915,865,https://www.imdb.com/title/tt2278388/reviews/_ajax?ref_=undefined&paginationKey=
Kill Bill: Vol. 2,2004,R,2h 17min,Action; Crime; Thriller; ,16 April 2004 (USA),8,663568,1022,https://www.imdb.com/title/tt0378194/reviews/_ajax?ref_=undefined&paginationKey=
12 Angry Men,1957,Approved,1h 36min,Crime; Drama; ,10 April 1957 (USA),8.9,661761,1575,https://www.imdb.com/title/tt0050083/reviews/_ajax?ref_=undefined&paginationKey=
Fargo,1996,R,1h 38min,Crime; Drama; Thriller; ,5 April 1996 (USA),8.1,596614,947,https://www.imdb.com/title/tt0116282/reviews/_ajax?ref_=undefined&paginationKey=
Now You See Me,2013,PG-13,1h 55min,Crime; Mystery; Thriller; ,31 May 2013 (USA),7.3,581643,760,https://www.imdb.com/title/tt1670345/reviews/_ajax?ref_=undefined&paginationKey=
Prisoners,2013,R,2h 33min,Crime; Drama; Mystery; ,20 September 2013 (USA),8.1,575034,901,https://www.imdb.com/title/tt1392214/reviews/_ajax?ref_=undefined&paginationKey=
Heat,1995,R,2h 50min,Crime; Drama; Thriller; ,15 December 1995 (USA),8.2,557728,1074,https://www.imdb.com/title/tt0113277/reviews/_ajax?ref_=undefined&paginationKey=
Drive,2011,R,1h 40min,Crime; Drama; ,16 September 2011 (USA),7.8,554576,1521,https://www.imdb.com/title/tt0780504/reviews/_ajax?ref_=undefined&paginationKey=
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47min,Action; Comedy; Crime; ,28 August 1998 (UK),8.2,521026,582,https://www.imdb.com/title/tt0120735/reviews/_ajax?ref_=undefined&paginationKey=
L.A. Confidential,1997,R,2h 18min,Crime; Drama; Mystery; ,19 September 1997 (USA),8.2,518387,710,https://www.imdb.com/title/tt0119488/reviews/_ajax?ref_=undefined&paginationKey=
Kick-Ass,2010,R,1h 57min,Action; Comedy; Crime; ,16 April 2010 (USA),7.6,515786,844,https://www.imdb.com/title/tt1250777/reviews/_ajax?ref_=undefined&paginationKey=
John Wick,2014,R,1h 41min,Action; Crime; Thriller; ,24 October 2014 (USA),7.4,514550,1157,https://www.imdb.com/title/tt2911666/reviews/_ajax?ref_=undefined&paginationKey=
Ocean's Eleven,2001,PG-13,1h 56min,Crime; Thriller; ,7 December 2001 (USA),7.7,500919,932,https://www.imdb.com/title/tt0240772/reviews/_ajax?ref_=undefined&paginationKey=
21 Jump Street,2012,R,1h 49min,Action; Comedy; Crime; ,16 March 2012 (USA),7.2,499602,401,https://www.imdb.com/title/tt1232829/reviews/_ajax?ref_=undefined&paginationKey=
Minority Report,2002,PG-13,2h 25min,Action; Crime; Mystery; ,21 June 2002 (USA),7.6,495543,1381,https://www.imdb.com/title/tt0181689/reviews/_ajax?ref_=undefined&paginationKey=
The Hateful Eight,2015,R,2h 48min,Crime; Drama; Mystery; ,30 December 2015 (USA),7.8,493749,1430,https://www.imdb.com/title/tt3460252/reviews/_ajax?ref_=undefined&paginationKey=
