"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"The Lord of the Rings: The Return of the King","2003","PG-13","3h 21min","Adventure; Drama; Fantasy; ","17 December 2003 (USA)","8.9","1593859","3681","https://www.imdb.com/title/tt0167260/reviews/_ajax?ref_=undefined&paginationKey="
"The Lord of the Rings: The Two Towers","2002","PG-13","2h 59min","Adventure; Drama; Fantasy; ","18 December 2002 (USA)","8.7","1440188","2559","https://www.imdb.com/title/tt0167261/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode IV - A New Hope","1977","PG","2h 1min","Action; Adventure; Fantasy; ","25 May 1977 (USA)","8.6","1197132","1834","https://www.imdb.com/title/tt0076759/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode V - The Empire Strikes Back","1980","PG","2h 4min","Action; Adventure; Fantasy; ","20 June 1980 (USA)","8.7","1124834","1214","https://www.imdb.com/title/tt0080684/reviews/_ajax?ref_=undefined&paginationKey="
"The Green Mile","1999","R","3h 9min","Crime; Drama; Fantasy; ","10 December 1999 (USA)","8.6","1101707","1725","https://www.imdb.com/title/tt0120689/reviews/_ajax?ref_=undefined&paginationKey="
"Avatar","2009","PG-13","2h 42min","Action; Adventure; Fantasy; ","18 December 2009 (USA)","7.8","1096125","3415","https://www.imdb.com/title/tt0499549/reviews/_ajax?ref_=undefined&paginationKey="
"Pirates of the Caribbean: The Curse of the Black Pearl","2003","PG-13","2h 23min","Action; Adventure; Fantasy; ","9 July 2003 (USA)","8.0","997264","2186","https://www.imdb.com/title/tt0325980/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode VI - Return of the Jedi","1983","PG","2h 11min","Action; Adventure; Fantasy; ","25 May 1983 (USA)","8.3","922278","828","https://www.imdb.com/title/tt0086190/reviews/_ajax?ref_=undefined&paginationKey="
"The Hobbit: An Unexpected Journey","2012","PG-13","2h 49min","Adventure; Fantasy; ","14 December 2012 (USA)","7.8","743338","1430","https://www.imdb.com/title/tt0903624/reviews/_ajax?ref_=undefined&paginationKey="
"Harry Potter and the Deathly Hallows: Part 2","2011","PG-13","2h 10min","Adventure; Drama; Fantasy; ","15 July 2011 (USA)","8.1","737642","953","https://www.imdb.com/title/tt1201607/reviews/_ajax?ref_=undefined&paginationKey="
"Thor","2011","PG-13","1h 55min","Action; Adventure; Fantasy; ","6 May 2011 (USA)","7.0","726753","915","https://www.imdb.com/title/tt0800369/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode I - The Phantom Menace","1999","PG","2h 16min","Action; Adventure; Fantasy; ","19 May 1999 (USA)","6.5","708990","3843","https://www.imdb.com/title/tt0120915/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode III - Revenge of the Sith","2005","PG-13","2h 20min","Action; Adventure; Fantasy; ","19 May 2005 (USA)","7.5","690205","3553","https://www.imdb.com/title/tt0121766/reviews/_ajax?ref_=undefined&paginationKey="
"Pirates of the Caribbean: Dead Man's Chest","2006","PG-13","2h 31min","Action; Adventure; Fantasy; ","7 July 2006 (USA)","7.3","641045","1889","https://www.imdb.com/title/tt0383574/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode II - Attack of the Clones","2002","PG","2h 22min","Action; Adventure; Fantasy; ","16 May 2002 (USA)","6.5","621911","3652","https://www.imdb.com/title/tt0121765/reviews/_ajax?ref_=undefined&paginationKey="
"Harry Potter and the Sorcerer's Stone","2001","PG","2h 32min","Adventure; Fantasy; ","16 November 2001 (USA)","7.6","618786","1737","https://www.imdb.com/title/tt0241527/reviews/_ajax?ref_=undefined&paginationKey="
"Pan's Labyrinth","2006","R","1h 58min","Drama; Fantasy; War; ","19 January 2007 (USA)","8.2","603269","1271","https://www.imdb.com/title/tt0457430/reviews/_ajax?ref_=undefined&paginationKey="
"The Hobbit: The Desolation of Smaug","2013","PG-13","2h 41min","Adventure; Fantasy; ","13 December 2013 (USA)","7.8","588294","985","https://www.imdb.com/title/tt1170358/reviews/_ajax?ref_=undefined&paginationKey="
"Pirates of the Caribbean: At World's End","2007","PG-13","2h 49min","Action; Adventure; Fantasy; ","25 May 2007 (USA)","7.1","582275","1290","https://www.imdb.com/title/tt0449088/reviews/_ajax?ref_=undefined&paginationKey="
"Suicide Squad","2016","PG-13","2h 3min","Action; Adventure; Fantasy; ","5 August 2016 (USA)","6.0","581986","2253","https://www.imdb.com/title/tt1386697/reviews/_ajax?ref_=undefined&paginationKey="
"Thor: The Dark World","2013","PG-13","1h 52min","Action; Adventure; Fantasy; ","8 November 2013 (USA)","6.9","578425","695","https://www.imdb.com/title/tt1981115/reviews/_ajax?ref_=undefined&paginationKey="
"Doctor Strange","2016","PG-13","1h 55min","Action; Adventure; Fantasy; ","4 November 2016 (USA)","7.5","573177","945","https://www.imdb.com/title/tt1211837/reviews/_ajax?ref_=undefined&paginationKey="
"The Curious Case of Benjamin Button","2008","PG-13","2h 46min","Drama; Fantasy; Romance; ","25 December 2008 (USA)","7.8","572217","948","https://www.imdb.com/title/tt0421715/reviews/_ajax?ref_=undefined&paginationKey="
"Life of Pi","2012","PG","2h 7min","Adventure; Drama; Fantasy; ","21 November 2012 (USA)","7.9","567025","914","https://www.imdb.com/title/tt0454876/reviews/_ajax?ref_=undefined&paginationKey="
"Groundhog Day","1993","PG","1h 41min","Comedy; Fantasy; Romance; ","12 February 1993 (USA)","8.0","566223","769","https://www.imdb.com/title/tt0107048/reviews/_ajax?ref_=undefined&paginationKey="
"Star Wars: Episode VIII - The Last Jedi","2017","PG-13","2h 32min","Action; Adventure; Fantasy; ","15 December 2017 (USA)","7.0","543307","6691","https://www.imdb.com/title/tt2527336/reviews/_ajax?ref_=undefined&paginationKey="
"Harry Potter and the Chamber of Secrets","2002","PG","2h 41min","Adventure; Fantasy; ","15 November 2002 (USA)","7.4","531256","930","https://www.imdb.com/title/tt0295297/reviews/_ajax?ref_=undefined&paginationKey="
"Wonder Woman","2017","PG-13","2h 21min","Action; Adventure; Fantasy; ","2 June 2017 (USA)","7.4","531221","2179","https://www.imdb.com/title/tt0451279/reviews/_ajax?ref_=undefined&paginationKey="
"Harry Potter and the Prisoner of Azkaban","2004","PG","2h 22min","Adventure; Fantasy; ","4 June 2004 (USA)","7.9","528503","1592","https://www.imdb.com/title/tt0304141/reviews/_ajax?ref_=undefined&paginationKey="
"Harry Potter and the Goblet of Fire","2005","PG-13","2h 37min","Adventure; Fantasy; ","18 November 2005 (USA)","7.7","526115","1980","https://www.imdb.com/title/tt0330373/reviews/_ajax?ref_=undefined&paginationKey="
"Zombieland","2009","R","1h 28min","Adventure; Comedy; Fantasy; ","2 October 2009 (USA)","7.6","507361","713","https://www.imdb.com/title/tt1156398/reviews/_ajax?ref_=undefined&paginationKey="
"Monty Python and the Holy Grail","1975","PG","1h 31min","Adventure; Comedy; Fantasy; ","6 December 1979 (India)","8.2","488482","774","https://www.imdb.com/title/tt0071853/reviews/_ajax?ref_=undefined&paginationKey="
"Pirates of the Caribbean: On Stranger Tides","2011","PG-13","2h 16min","Action; Adventure; Fantasy; ","20 May 2011 (USA)","6.6","469914","535","https://www.imdb.com/title/tt1298650/reviews/_ajax?ref_=undefined&paginationKey="
"The Hobbit: The Battle of the Five Armies","2014","PG-13","2h 24min","Adventure; Fantasy; ","17 December 2014 (USA)","7.4","461617","883","https://www.imdb.com/title/tt2310332/reviews/_ajax?ref_=undefined&paginationKey="
"Harry Potter and the Deathly Hallows: Part 1","2010","PG-13","2h 26min","Adventure; Fantasy; ","19 November 2010 (USA)","7.7","459135","691","https://www.imdb.com/title/tt0926084/reviews/_ajax?ref_=undefined&paginationKey="
"Edward Scissorhands","1990","PG-13","1h 45min","Drama; Fantasy; Romance; ","14 December 1990 (USA)","7.9","434894","656","https://www.imdb.com/title/tt0099487/reviews/_ajax?ref_=undefined&paginationKey="
"Hancock","2008","PG-13","1h 32min","Action; Fantasy; ","2 July 2008 (USA)","6.4","434772","654","https://www.imdb.com/title/tt0448157/reviews/_ajax?ref_=undefined&paginationKey="
