name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url
Schindler's List,1993,R,3h 15min,Biography; Drama; History; ,4 February 1994 (USA),8.9,1173324,1814,https://www.imdb.com/title/tt0108052/reviews/_ajax?ref_=undefined&paginationKey=
Braveheart,1995,R,2h 58min,Biography; Drama; History; ,24 May 1995 (USA),8.3,936728,1271,https://www.imdb.com/title/tt0112573/reviews/_ajax?ref_=undefined&paginationKey=
The King's Speech,2010,R,1h 58min,Biography; Drama; History; ,25 December 2010 (USA),8,624817,754,https://www.imdb.com/title/tt1504320/reviews/_ajax?ref_=undefined&paginationKey=
12 Years a Slave,2013,R,2h 14min,Biography; Drama; History; ,8 November 2013 (USA),8.1,619715,869,https://www.imdb.com/title/tt2024544/reviews/_ajax?ref_=undefined&paginationKey=
Dunkirk,2017,PG-13,1h 46min,Action; Drama; History; ,21 July 2017 (USA),7.9,523089,2359,https://www.imdb.com/title/tt5013056/reviews/_ajax?ref_=undefined&paginationKey=
Troy,2004,R,2h 43min,Drama; History; ,14 May 2004 (USA),7.2,476975,1789,https://www.imdb.com/title/tt0332452/reviews/_ajax?ref_=undefined&paginationKey=
Hacksaw Ridge,2016,R,2h 19min,Biography; Drama; History; ,4 November 2016 (USA),8.1,412911,893,https://www.imdb.com/title/tt2119532/reviews/_ajax?ref_=undefined&paginationKey=
Amadeus,1984,R,2h 40min,Biography; Drama; History; ,19 September 1984 (USA),8.3,358503,634,https://www.imdb.com/title/tt0086879/reviews/_ajax?ref_=undefined&paginationKey=
Black Hawk Down,2001,R,2h 24min,Drama; History; War; ,18 January 2002 (USA),7.7,356185,1153,https://www.imdb.com/title/tt0265086/reviews/_ajax?ref_=undefined&paginationKey=
The Illusionist,2006,PG-13,1h 50min,Drama; Fantasy; History; ,1 September 2006 (USA),7.6,349169,687,https://www.imdb.com/title/tt0443543/reviews/_ajax?ref_=undefined&paginationKey=
Hotel Rwanda,2004,PG-13,2h 1min,Biography; Drama; History; ,4 February 2005 (USA),8.1,327493,669,https://www.imdb.com/title/tt0395169/reviews/_ajax?ref_=undefined&paginationKey=
Downfall,2004,R,2h 36min,Biography; Drama; History; ,8 April 2005 (USA),8.2,322655,633,https://www.imdb.com/title/tt0363163/reviews/_ajax?ref_=undefined&paginationKey=
Pearl Harbor,2001,PG-13,3h 3min,Action; Drama; History; ,25 May 2001 (USA),6.2,305503,2022,https://www.imdb.com/title/tt0213149/reviews/_ajax?ref_=undefined&paginationKey=
Les Misérables,2012,PG-13,2h 38min,Drama; History; ,25 December 2012 (USA),7.6,300852,968,https://www.imdb.com/title/tt1707386/reviews/_ajax?ref_=undefined&paginationKey=
Gone with the Wind,1939,Passed,3h 58min,Drama; History; Romance; ,17 January 1940 (USA),8.1,281414,870,https://www.imdb.com/title/tt0031381/reviews/_ajax?ref_=undefined&paginationKey=
Bridge of Spies,2015,PG-13,2h 22min,Drama; History; Thriller; ,16 October 2015 (USA),7.6,278999,465,https://www.imdb.com/title/tt3682448/reviews/_ajax?ref_=undefined&paginationKey=
