"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"The Shining","1980","R","2h 26min","Drama; Horror; ","13 June 1980 (USA)","8.4","860290","1805","https://www.imdb.com/title/tt0081505/reviews/_ajax?ref_=undefined&paginationKey="
"Alien","1979","R","1h 57min","Horror; Sci-Fi; ","22 June 1979 (USA)","8.4","762793","1423","https://www.imdb.com/title/tt0078748/reviews/_ajax?ref_=undefined&paginationKey="
"World War Z","2013","PG-13","1h 56min","Action; Adventure; Horror; ","21 June 2013 (USA)","7.0","586801","1125","https://www.imdb.com/title/tt0816711/reviews/_ajax?ref_=undefined&paginationKey="
"Psycho","1960","R","1h 49min","Horror; Mystery; Thriller; ","8 September 1960 (USA)","8.5","580951","1263","https://www.imdb.com/title/tt0054215/reviews/_ajax?ref_=undefined&paginationKey="
"Shaun of the Dead","2004","R","1h 39min","Comedy; Horror; ","24 September 2004 (USA)","7.9","499244","971","https://www.imdb.com/title/tt0365748/reviews/_ajax?ref_=undefined&paginationKey="
"Get Out","2017","R","1h 44min","Horror; Mystery; Thriller; ","24 February 2017 (USA)","7.7","465577","1566","https://www.imdb.com/title/tt5052448/reviews/_ajax?ref_=undefined&paginationKey="
"It","2017","R","2h 15min","Horror; ","8 September 2017 (USA)","7.3","437678","1914","https://www.imdb.com/title/tt1396484/reviews/_ajax?ref_=undefined&paginationKey="
"The Conjuring","2013","R","1h 52min","Horror; Mystery; Thriller; ","19 July 2013 (USA)","7.5","427067","1054","https://www.imdb.com/title/tt1457767/reviews/_ajax?ref_=undefined&paginationKey="
"Split","2016","PG-13","1h 57min","Horror; Thriller; ","20 January 2017 (USA)","7.3","404539","986","https://www.imdb.com/title/tt4972582/reviews/_ajax?ref_=undefined&paginationKey="
"A Quiet Place","2018","PG-13","1h 30min","Drama; Horror; Sci-Fi; ","6 April 2018 (USA)","7.5","385782","2882","https://www.imdb.com/title/tt6644200/reviews/_ajax?ref_=undefined&paginationKey="
"Saw","2004","R","1h 43min","Horror; Mystery; ","29 October 2004 (USA)","7.6","369825","1612","https://www.imdb.com/title/tt0387564/reviews/_ajax?ref_=undefined&paginationKey="
"28 Days Later...","2002","R","1h 53min","Drama; Horror; Sci-Fi; ","27 June 2003 (USA)","7.6","367391","1513","https://www.imdb.com/title/tt0289043/reviews/_ajax?ref_=undefined&paginationKey="
"Cloverfield","2008","PG-13","1h 25min","Action; Adventure; Horror; ","18 January 2008 (USA)","7.0","365910","2336","https://www.imdb.com/title/tt1060277/reviews/_ajax?ref_=undefined&paginationKey="
"The Cabin in the Woods","2011","R","1h 35min","Horror; ","13 April 2012 (USA)","7.0","363506","1190","https://www.imdb.com/title/tt1259521/reviews/_ajax?ref_=undefined&paginationKey="
"The Thing","1982","R","1h 49min","Horror; Mystery; Sci-Fi; ","25 June 1982 (USA)","8.1","356786","1095","https://www.imdb.com/title/tt0084787/reviews/_ajax?ref_=undefined&paginationKey="
"The Exorcist","1973","R","2h 2min","Horror; ","26 December 1973 (USA)","8.0","352076","1220","https://www.imdb.com/title/tt0070047/reviews/_ajax?ref_=undefined&paginationKey="
"Sweeney Todd: The Demon Barber of Fleet Street","2007","R","1h 56min","Drama; Horror; ","21 December 2007 (USA)","7.3","335791","832","https://www.imdb.com/title/tt0408236/reviews/_ajax?ref_=undefined&paginationKey="
"The Others","2001","PG-13","1h 44min","Horror; Mystery; Thriller; ","10 August 2001 (USA)","7.6","328624","1147","https://www.imdb.com/title/tt0230600/reviews/_ajax?ref_=undefined&paginationKey="
"Sleepy Hollow","1999","R","1h 45min","Fantasy; Horror; Mystery; ","19 November 1999 (USA)","7.3","320861","1023","https://www.imdb.com/title/tt0162661/reviews/_ajax?ref_=undefined&paginationKey="
