"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"The Pianist","2002","R","2h 30min","Biography; Drama; Music; ","28 March 2003 (USA)","8.5","701576","924","https://www.imdb.com/title/tt0253474/reviews/_ajax?ref_=undefined&paginationKey="
"Whiplash","2014","R","1h 46min","Drama; Music; ","20 February 2015 (India)","8.5","683157","1195","https://www.imdb.com/title/tt2582802/reviews/_ajax?ref_=undefined&paginationKey="
"La La Land","2016","PG-13","2h 8min","Comedy; Drama; Music; ","25 December 2016 (USA)","8.0","482858","1772","https://www.imdb.com/title/tt3783958/reviews/_ajax?ref_=undefined&paginationKey="
"Bohemian Rhapsody","2018","PG-13","2h 14min","Biography; Drama; Music; ","2 November 2018 (USA)","8.0","428335","3356","https://www.imdb.com/title/tt1727824/reviews/_ajax?ref_=undefined&paginationKey="
"A Star Is Born","2018","R","2h 16min","Drama; Music; Romance; ","5 October 2018 (USA)","7.7","313113","2664","https://www.imdb.com/title/tt1517451/reviews/_ajax?ref_=undefined&paginationKey="
"Pitch Perfect","2012","PG-13","1h 52min","Comedy; Music; Romance; ","5 October 2012 (USA)","7.2","269390","316","https://www.imdb.com/title/tt1981677/reviews/_ajax?ref_=undefined&paginationKey="
"School of Rock","2003","PG-13","1h 49min","Comedy; Music; ","3 October 2003 (USA)","7.1","260266","517","https://www.imdb.com/title/tt0332379/reviews/_ajax?ref_=undefined&paginationKey="
"8 Mile","2002","R","1h 50min","Drama; Music; ","8 November 2002 (USA)","7.1","243272","611","https://www.imdb.com/title/tt0298203/reviews/_ajax?ref_=undefined&paginationKey="
"Some Like It Hot","1959","Not Rated","2h 1min","Comedy; Music; Romance; ","19 March 1959 (USA)","8.2","236252","415","https://www.imdb.com/title/tt0053291/reviews/_ajax?ref_=undefined&paginationKey="
"Walk the Line","2005","PG-13","2h 16min","Biography; Drama; Music; ","18 November 2005 (USA)","7.8","227982","897","https://www.imdb.com/title/tt0358273/reviews/_ajax?ref_=undefined&paginationKey="
"Dirty Dancing","1987","PG-13","1h 40min","Drama; Music; Romance; ","21 August 1987 (USA)","7.0","194794","462","https://www.imdb.com/title/tt0092890/reviews/_ajax?ref_=undefined&paginationKey="
"Get Him to the Greek","2010","R","1h 49min","Comedy; Music; ","4 June 2010 (USA)","6.4","167212","220","https://www.imdb.com/title/tt1226229/reviews/_ajax?ref_=undefined&paginationKey="
"High Fidelity","2000","R","1h 53min","Comedy; Drama; Music; ","31 March 2000 (USA)","7.5","164661","627","https://www.imdb.com/title/tt0146882/reviews/_ajax?ref_=undefined&paginationKey="
"Wayne's World","1992","PG-13","1h 34min","Comedy; Music; ","14 February 1992 (USA)","7.0","140324","199","https://www.imdb.com/title/tt0105793/reviews/_ajax?ref_=undefined&paginationKey="
"Begin Again","2013","R","1h 44min","Comedy; Drama; Music; ","11 July 2014 (USA)","7.4","138458","262","https://www.imdb.com/title/tt1980929/reviews/_ajax?ref_=undefined&paginationKey="
"Pitch Perfect 2","2015","PG-13","1h 55min","Comedy; Music; ","15 May 2015 (USA)","6.4","138421","221","https://www.imdb.com/title/tt2848292/reviews/_ajax?ref_=undefined&paginationKey="
"Ray","2004","PG-13","2h 32min","Biography; Drama; Music; ","29 October 2004 (USA)","7.7","135305","460","https://www.imdb.com/title/tt0350258/reviews/_ajax?ref_=undefined&paginationKey="
"Inside Llewyn Davis","2013","R","1h 44min","Comedy; Drama; Music; ","10 January 2014 (USA)","7.5","134564","381","https://www.imdb.com/title/tt2042568/reviews/_ajax?ref_=undefined&paginationKey="
"The Wedding Singer","1998","PG-13","1h 37min","Comedy; Music; Romance; ","13 February 1998 (USA)","6.8","131174","362","https://www.imdb.com/title/tt0120888/reviews/_ajax?ref_=undefined&paginationKey="
"This Is Spinal Tap","1984","R","1h 22min","Comedy; Music; ","2 March 1984 (USA)","7.9","125864","366","https://www.imdb.com/title/tt0088258/reviews/_ajax?ref_=undefined&paginationKey="
"Billy Elliot","2000","R","1h 50min","Drama; Music; ","10 November 2000 (USA)","7.7","122980","469","https://www.imdb.com/title/tt0249462/reviews/_ajax?ref_=undefined&paginationKey="
"Rocketman","2019","R","2h 1min","Biography; Drama; Music; ","31 May 2019 (USA)","7.3","120440","944","https://www.imdb.com/title/tt2066051/reviews/_ajax?ref_=undefined&paginationKey="
"Hail, Caesar!","2016","PG-13","1h 46min","Comedy; Drama; Music; ","5 February 2016 (USA)","6.3","120378","445","https://www.imdb.com/title/tt0475290/reviews/_ajax?ref_=undefined&paginationKey="
"The Bodyguard","1992","R","2h 9min","Action; Drama; Music; ","25 November 1992 (USA)","6.3","115475","158","https://www.imdb.com/title/tt0103855/reviews/_ajax?ref_=undefined&paginationKey="
"If I Stay","2014","PG-13","1h 47min","Drama; Fantasy; Music; ","22 August 2014 (USA)","6.7","113203","168","https://www.imdb.com/title/tt1355630/reviews/_ajax?ref_=undefined&paginationKey="
"Once","2007","R","1h 26min","Drama; Music; Romance; ","15 June 2007 (USA)","7.8","108624","365","https://www.imdb.com/title/tt0907657/reviews/_ajax?ref_=undefined&paginationKey="
"Step Up","2006","PG-13","1h 44min","Crime; Drama; Music; ","11 August 2006 (USA)","6.5","108504","285","https://www.imdb.com/title/tt0462590/reviews/_ajax?ref_=undefined&paginationKey="
"Bill & Ted's Excellent Adventure","1989","PG","1h 30min","Adventure; Comedy; Music; ","17 February 1989 (USA)","6.9","107579","228","https://www.imdb.com/title/tt0096928/reviews/_ajax?ref_=undefined&paginationKey="
"Pirate Radio","2009","R","1h 57min","Comedy; Drama; Music; ","13 November 2009 (USA)","7.4","105802","241","https://www.imdb.com/title/tt1131729/reviews/_ajax?ref_=undefined&paginationKey="
"Coyote Ugly","2000","PG-13","1h 40min","Comedy; Drama; Music; ","4 August 2000 (USA)","5.7","104700","389","https://www.imdb.com/title/tt0200550/reviews/_ajax?ref_=undefined&paginationKey="
"Green Room","2015","R","1h 35min","Horror; Music; Thriller; ","13 May 2016 (USA)","7.0","102334","321","https://www.imdb.com/title/tt4062536/reviews/_ajax?ref_=undefined&paginationKey="
"August Rush","2007","PG","1h 54min","Drama; Music; ","21 November 2007 (USA)","7.5","101979","397","https://www.imdb.com/title/tt0426931/reviews/_ajax?ref_=undefined&paginationKey="
"Yesterday","2019","PG-13","1h 56min","Comedy; Fantasy; Music; ","28 June 2019 (USA)","6.8","100978","934","https://www.imdb.com/title/tt8079248/reviews/_ajax?ref_=undefined&paginationKey="
"Tenacious D in the Pick of Destiny","2006","R","1h 33min","Adventure; Comedy; Music; ","22 November 2006 (USA)","6.8","99944","208","https://www.imdb.com/title/tt0365830/reviews/_ajax?ref_=undefined&paginationKey="
"Music and Lyrics","2007","PG-13","1h 44min","Comedy; Music; Romance; ","14 February 2007 (USA)","6.5","94921","300","https://www.imdb.com/title/tt0758766/reviews/_ajax?ref_=undefined&paginationKey="
