"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"Se7en","1995","R","2h 7min","Crime; Drama; Mystery; ","22 September 1995 (USA)","8.6","1390231","1460","https://www.imdb.com/title/tt0114369/reviews/_ajax?ref_=undefined&paginationKey="
"The Prestige","2006","PG-13","2h 10min","Drama; Mystery; Sci-Fi; ","20 October 2006 (USA)","8.5","1144521","1394","https://www.imdb.com/title/tt0482571/reviews/_ajax?ref_=undefined&paginationKey="
"Memento","2000","R","1h 53min","Mystery; Thriller; ","25 May 2001 (USA)","8.4","1090298","2254","https://www.imdb.com/title/tt0209144/reviews/_ajax?ref_=undefined&paginationKey="
"Shutter Island","2010","R","2h 18min","Mystery; Thriller; ","19 February 2010 (USA)","8.1","1086350","1269","https://www.imdb.com/title/tt1130884/reviews/_ajax?ref_=undefined&paginationKey="
"The Usual Suspects","1995","R","1h 46min","Crime; Mystery; Thriller; ","16 August 1995 (USA)","8.5","961814","1355","https://www.imdb.com/title/tt0114814/reviews/_ajax?ref_=undefined&paginationKey="
"The Sixth Sense","1999","PG-13","1h 47min","Drama; Mystery; Thriller; ","6 August 1999 (USA)","8.1","888925","2223","https://www.imdb.com/title/tt0167404/reviews/_ajax?ref_=undefined&paginationKey="
"Gone Girl","2014","R","2h 29min","Drama; Mystery; Thriller; ","3 October 2014 (USA)","8.1","825450","1449","https://www.imdb.com/title/tt2267998/reviews/_ajax?ref_=undefined&paginationKey="
"Donnie Darko","2001","R","1h 53min","Drama; Mystery; Sci-Fi; ","30 January 2002 (France)","8.0","724912","2276","https://www.imdb.com/title/tt0246578/reviews/_ajax?ref_=undefined&paginationKey="
"The Hunger Games: Catching Fire","2013","PG-13","2h 26min","Action; Adventure; Mystery; ","22 November 2013 (USA)","7.5","600100","720","https://www.imdb.com/title/tt1951264/reviews/_ajax?ref_=undefined&paginationKey="
"The Bourne Ultimatum","2007","PG-13","1h 55min","Action; Mystery; Thriller; ","3 August 2007 (USA)","8.0","595435","882","https://www.imdb.com/title/tt0440963/reviews/_ajax?ref_=undefined&paginationKey="
"Apocalypse Now","1979","R","2h 27min","Drama; Mystery; War; ","15 August 1979 (USA)","8.4","585989","1183","https://www.imdb.com/title/tt0078788/reviews/_ajax?ref_=undefined&paginationKey="
"Now You See Me","2013","PG-13","1h 55min","Crime; Mystery; Thriller; ","31 May 2013 (USA)","7.3","581644","760","https://www.imdb.com/title/tt1670345/reviews/_ajax?ref_=undefined&paginationKey="
