name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url
Forrest Gump,1994,PG-13,2h 22min,Romance; ,6 July 1994 (USA),8.8,1741481,2355,https://www.imdb.com/title/tt0109830/reviews/_ajax?ref_=undefined&paginationKey=
Titanic,1997,PG-13,3h 14min,Romance; ,19 December 1997 (USA),7.8,1017379,2864,https://www.imdb.com/title/tt0120338/reviews/_ajax?ref_=undefined&paginationKey=
Eternal Sunshine of the Spotless Mind,2004,R,1h 48min,Romance; ,19 March 2004 (USA),8.3,882688,1800,https://www.imdb.com/title/tt0338013/reviews/_ajax?ref_=undefined&paginationKey=
Good Will Hunting,1997,R,2h 6min,Romance; ,9 January 1998 (USA),8.3,830366,887,https://www.imdb.com/title/tt0119217/reviews/_ajax?ref_=undefined&paginationKey=
Slumdog Millionaire,2008,R,2h,Romance; ,25 December 2008 (USA),8,782771,1126,https://www.imdb.com/title/tt1010048/reviews/_ajax?ref_=undefined&paginationKey=
Amélie,2001,R,2h 2min,Comedy; Romance; ,8 February 2002 (USA),8.3,686825,1481,https://www.imdb.com/title/tt0211915/reviews/_ajax?ref_=undefined&paginationKey=
Silver Linings Playbook,2012,R,2h 2min,Comedy; Romance; ,25 December 2012 (USA),7.7,648078,836,https://www.imdb.com/title/tt1045658/reviews/_ajax?ref_=undefined&paginationKey=
Life Is Beautiful,1997,PG-13,1h 56min,Comedy; Romance; ,12 February 1999 (USA),8.6,600633,1318,https://www.imdb.com/title/tt0118799/reviews/_ajax?ref_=undefined&paginationKey=
The Curious Case of Benjamin Button,2008,PG-13,2h 46min,Romance; ,25 December 2008 (USA),7.8,572320,948,https://www.imdb.com/title/tt0421715/reviews/_ajax?ref_=undefined&paginationKey=
Groundhog Day,1993,PG,1h 41min,Comedy; Romance; ,12 February 1993 (USA),8,566305,769,https://www.imdb.com/title/tt0107048/reviews/_ajax?ref_=undefined&paginationKey=
Her,2013,R,2h 6min,Romance; ,10 January 2014 (USA),8,518426,1060,https://www.imdb.com/title/tt1798709/reviews/_ajax?ref_=undefined&paginationKey=
Cast Away,2000,PG-13,2h 23min,Romance; ,22 December 2000 (USA),7.8,506482,1179,https://www.imdb.com/title/tt0162222/reviews/_ajax?ref_=undefined&paginationKey=
Casablanca,1942,PG,1h 42min,Romance; ,23 January 1943 (USA),8.5,506322,1292,https://www.imdb.com/title/tt0034583/reviews/_ajax?ref_=undefined&paginationKey=
The Notebook,2004,PG-13,2h 3min,Romance; ,25 June 2004 (USA),7.8,503964,1255,https://www.imdb.com/title/tt0332280/reviews/_ajax?ref_=undefined&paginationKey=
The Great Gatsby,2013,PG-13,2h 23min,Romance; ,10 May 2013 (USA),7.2,462941,902,https://www.imdb.com/title/tt1343092/reviews/_ajax?ref_=undefined&paginationKey=
500 Days of Summer,2009,PG-13,1h 35min,Comedy; Romance; ,7 August 2009 (USA),7.7,461834,601,https://www.imdb.com/title/tt1022603/reviews/_ajax?ref_=undefined&paginationKey=
"Crazy, Stupid, Love",2011,PG-13,1h 58min,Comedy; Romance; ,29 July 2011 (USA),7.4,460023,370,https://www.imdb.com/title/tt1570728/reviews/_ajax?ref_=undefined&paginationKey=
The Perks of Being a Wallflower,2012,PG-13,1h 43min,Romance; ,12 October 2012 (USA),8,448222,618,https://www.imdb.com/title/tt1659337/reviews/_ajax?ref_=undefined&paginationKey=
Edward Scissorhands,1990,PG-13,1h 45min,Romance; ,14 December 1990 (USA),7.9,434955,656,https://www.imdb.com/title/tt0099487/reviews/_ajax?ref_=undefined&paginationKey=
Love Actually,2003,R,2h 15min,Comedy; Romance; ,14 November 2003 (USA),7.6,413896,1136,https://www.imdb.com/title/tt0314331/reviews/_ajax?ref_=undefined&paginationKey=
Twilight,2008,PG-13,2h 2min,Romance; ,21 November 2008 (USA),5.2,413326,1654,https://www.imdb.com/title/tt1099212/reviews/_ajax?ref_=undefined&paginationKey=
The Terminal,2004,PG-13,2h 8min,Comedy; Romance; ,18 June 2004 (USA),7.4,393039,702,https://www.imdb.com/title/tt0362227/reviews/_ajax?ref_=undefined&paginationKey=
The Theory of Everything,2014,PG-13,2h 3min,Romance; ,26 November 2014 (USA),7.7,387452,501,https://www.imdb.com/title/tt2980516/reviews/_ajax?ref_=undefined&paginationKey=
The 40-Year-Old Virgin,2005,R,1h 56min,Comedy; Romance; ,19 August 2005 (USA),7.1,384072,587,https://www.imdb.com/title/tt0405422/reviews/_ajax?ref_=undefined&paginationKey=
Midnight in Paris,2011,PG-13,1h 34min,Comedy; Romance; ,10 June 2011 (USA),7.7,376680,609,https://www.imdb.com/title/tt1605783/reviews/_ajax?ref_=undefined&paginationKey=
Vertigo,1958,PG,2h 8min,Romance; ,22 May 1958 (UK),8.3,348647,848,https://www.imdb.com/title/tt0052357/reviews/_ajax?ref_=undefined&paginationKey=
Easy A,2010,PG-13,1h 32min,Comedy; Romance; ,17 September 2010 (USA),7,348230,339,https://www.imdb.com/title/tt1282140/reviews/_ajax?ref_=undefined&paginationKey=
Knocked Up,2007,R,2h 9min,Comedy; Romance; ,1 June 2007 (USA),6.9,343791,584,https://www.imdb.com/title/tt0478311/reviews/_ajax?ref_=undefined&paginationKey=
Passengers,2016,PG-13,1h 56min,Romance; ,21 December 2016 (USA),7,337271,1173,https://www.imdb.com/title/tt1355644/reviews/_ajax?ref_=undefined&paginationKey=
The Fault in Our Stars,2014,PG-13,2h 6min,Romance; ,6 June 2014 (USA),7.7,334274,679,https://www.imdb.com/title/tt2582846/reviews/_ajax?ref_=undefined&paginationKey=
