"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"The Big Lebowski","1998","R","1h 57min","Comedy; Crime; Sport; ","6 March 1998 (USA)","8.1","705947","1225","https://www.imdb.com/title/tt0118715/reviews/_ajax?ref_=undefined&paginationKey="
"Million Dollar Baby","2004","PG-13","2h 12min","Drama; Sport; ","28 January 2005 (USA)","8.1","618907","1219","https://www.imdb.com/title/tt0405159/reviews/_ajax?ref_=undefined&paginationKey="
"Rocky","1976","PG","2h","Drama; Sport; ","3 December 1976 (USA)","8.1","502752","694","https://www.imdb.com/title/tt0075148/reviews/_ajax?ref_=undefined&paginationKey="
"Warrior","2011","PG-13","2h 20min","Action; Drama; Sport; ","9 September 2011 (USA)","8.2","424797","676","https://www.imdb.com/title/tt1291584/reviews/_ajax?ref_=undefined&paginationKey="
"Rush","2013","R","2h 3min","Biography; Drama; Sport; ","27 September 2013 (USA)","8.1","419381","564","https://www.imdb.com/title/tt1979320/reviews/_ajax?ref_=undefined&paginationKey="
"Moneyball","2011","PG-13","2h 13min","Biography; Drama; Sport; ","23 September 2011 (USA)","7.6","350553","409","https://www.imdb.com/title/tt1210166/reviews/_ajax?ref_=undefined&paginationKey="
"The Fighter","2010","R","1h 56min","Biography; Drama; Sport; ","17 December 2010 (USA)","7.8","332122","443","https://www.imdb.com/title/tt0964517/reviews/_ajax?ref_=undefined&paginationKey="
"Raging Bull","1980","R","2h 9min","Biography; Drama; Sport; ","19 December 1980 (USA)","8.2","311228","583","https://www.imdb.com/title/tt0081398/reviews/_ajax?ref_=undefined&paginationKey="
"The Wrestler","2008","R","1h 49min","Drama; Sport; ","30 January 2009 (USA)","7.9","285261","588","https://www.imdb.com/title/tt1125849/reviews/_ajax?ref_=undefined&paginationKey="
"The Blind Side","2009","PG-13","2h 9min","Biography; Drama; Sport; ","20 November 2009 (USA)","7.6","283759","507","https://www.imdb.com/title/tt0878804/reviews/_ajax?ref_=undefined&paginationKey="
"Creed","2015","PG-13","2h 13min","Drama; Sport; ","25 November 2015 (USA)","7.6","240217","515","https://www.imdb.com/title/tt3076658/reviews/_ajax?ref_=undefined&paginationKey="
"Dodgeball","2004","PG-13","1h 32min","Comedy; Sport; ","18 June 2004 (USA)","6.7","224256","406","https://www.imdb.com/title/tt0364725/reviews/_ajax?ref_=undefined&paginationKey="
"Southpaw","2015","R","2h 4min","Drama; Sport; ","24 July 2015 (USA)","7.4","211731","343","https://www.imdb.com/title/tt1798684/reviews/_ajax?ref_=undefined&paginationKey="
"Remember the Titans","2000","PG","1h 53min","Biography; Drama; Sport; ","29 September 2000 (USA)","7.8","193013","452","https://www.imdb.com/title/tt0210945/reviews/_ajax?ref_=undefined&paginationKey="
"Happy Gilmore","1996","PG-13","1h 32min","Comedy; Sport; ","16 February 1996 (USA)","7.0","191082","320","https://www.imdb.com/title/tt0116483/reviews/_ajax?ref_=undefined&paginationKey="
"Rocky II","1979","PG","1h 59min","Drama; Sport; ","15 June 1979 (USA)","7.3","185752","218","https://www.imdb.com/title/tt0079817/reviews/_ajax?ref_=undefined&paginationKey="
"Rocky IV","1985","PG","1h 31min","Drama; Sport; ","27 November 1985 (USA)","6.9","181314","379","https://www.imdb.com/title/tt0089927/reviews/_ajax?ref_=undefined&paginationKey="
"Rocky III","1982","PG","1h 39min","Drama; Sport; ","28 May 1982 (USA)","6.8","168581","243","https://www.imdb.com/title/tt0084602/reviews/_ajax?ref_=undefined&paginationKey="
"Talladega Nights: The Ballad of Ricky Bobby","2006","PG-13","1h 48min","Comedy; Sport; ","4 August 2006 (USA)","6.6","163181","476","https://www.imdb.com/title/tt0415306/reviews/_ajax?ref_=undefined&paginationKey="
"The Longest Yard","2005","PG-13","1h 53min","Comedy; Crime; Sport; ","27 May 2005 (USA)","6.4","158464","336","https://www.imdb.com/title/tt0398165/reviews/_ajax?ref_=undefined&paginationKey="
"Blades of Glory","2007","PG-13","1h 33min","Comedy; Sport; ","30 March 2007 (USA)","6.3","154489","268","https://www.imdb.com/title/tt0445934/reviews/_ajax?ref_=undefined&paginationKey="
"The Waterboy","1998","PG-13","1h 30min","Comedy; Sport; ","6 November 1998 (USA)","6.1","145024","334","https://www.imdb.com/title/tt0120484/reviews/_ajax?ref_=undefined&paginationKey="
"She's the Man","2006","PG-13","1h 45min","Comedy; Romance; Sport; ","17 March 2006 (USA)","6.3","142831","292","https://www.imdb.com/title/tt0454945/reviews/_ajax?ref_=undefined&paginationKey="
"Unbroken","2014","PG-13","2h 17min","Biography; Drama; Sport; ","25 December 2014 (USA)","7.2","141389","429","https://www.imdb.com/title/tt1809398/reviews/_ajax?ref_=undefined&paginationKey="
"Green Street Hooligans","2005","R","1h 49min","Crime; Drama; Sport; ","9 September 2005 (UK)","7.5","139282","402","https://www.imdb.com/title/tt0385002/reviews/_ajax?ref_=undefined&paginationKey="
"Foxcatcher","2014","R","2h 14min","Biography; Drama; Sport; ","16 January 2015 (USA)","7.0","131688","335","https://www.imdb.com/title/tt1100089/reviews/_ajax?ref_=undefined&paginationKey="
"Rocky V","1990","PG-13","1h 44min","Drama; Sport; ","16 November 1990 (USA)","5.3","123555","305","https://www.imdb.com/title/tt0100507/reviews/_ajax?ref_=undefined&paginationKey="
"Coach Carter","2005","PG-13","2h 16min","Biography; Drama; Sport; ","14 January 2005 (USA)","7.3","122248","237","https://www.imdb.com/title/tt0393162/reviews/_ajax?ref_=undefined&paginationKey="
"Any Given Sunday","1999","R","2h 42min","Drama; Sport; ","22 December 1999 (USA)","6.9","110159","466","https://www.imdb.com/title/tt0146838/reviews/_ajax?ref_=undefined&paginationKey="
"Caddyshack","1980","R","1h 38min","Comedy; Sport; ","25 July 1980 (USA)","7.3","102192","285","https://www.imdb.com/title/tt0080487/reviews/_ajax?ref_=undefined&paginationKey="
"Creed II","2018","PG-13","2h 10min","Drama; Sport; ","21 November 2018 (USA)","7.1","97820","764","https://www.imdb.com/title/tt6343314/reviews/_ajax?ref_=undefined&paginationKey="
"Never Back Down","2008","PG-13","1h 53min","Action; Drama; Sport; ","14 March 2008 (USA)","6.6","94170","190","https://www.imdb.com/title/tt1023111/reviews/_ajax?ref_=undefined&paginationKey="
"Ali","2001","R","2h 37min","Biography; Drama; Sport; ","25 December 2001 (USA)","6.8","91667","391","https://www.imdb.com/title/tt0248667/reviews/_ajax?ref_=undefined&paginationKey="
"The Hurricane","1999","R","2h 26min","Biography; Drama; Sport; ","14 January 2000 (USA)","7.6","89663","280","https://www.imdb.com/title/tt0174856/reviews/_ajax?ref_=undefined&paginationKey="
"Bring It On","2000","PG-13","1h 38min","Comedy; Romance; Sport; ","25 August 2000 (USA)","6.0","84978","386","https://www.imdb.com/title/tt0204946/reviews/_ajax?ref_=undefined&paginationKey="
"Here Comes the Boom","2012","PG","1h 45min","Action; Comedy; Sport; ","12 October 2012 (USA)","6.4","84309","134","https://www.imdb.com/title/tt1648179/reviews/_ajax?ref_=undefined&paginationKey="
"Concussion","2015","PG-13","2h 3min","Biography; Drama; Sport; ","25 December 2015 (USA)","7.1","83455","194","https://www.imdb.com/title/tt3322364/reviews/_ajax?ref_=undefined&paginationKey="
"Goon","2011","R","1h 32min","Comedy; Drama; Sport; ","24 February 2012 (Canada)","6.8","82574","165","https://www.imdb.com/title/tt1456635/reviews/_ajax?ref_=undefined&paginationKey="
"42","2013","PG-13","2h 8min","Biography; Drama; Sport; ","12 April 2013 (USA)","7.5","81640","242","https://www.imdb.com/title/tt0453562/reviews/_ajax?ref_=undefined&paginationKey="
"Nacho Libre","2006","PG","1h 32min","Comedy; Sport; ","16 June 2006 (USA)","5.7","79678","487","https://www.imdb.com/title/tt0457510/reviews/_ajax?ref_=undefined&paginationKey="
"Semi-Pro","2008","R","1h 31min","Comedy; Sport; ","29 February 2008 (USA)","5.8","77162","129","https://www.imdb.com/title/tt0839980/reviews/_ajax?ref_=undefined&paginationKey="
"Days of Thunder","1990","PG-13","1h 47min","Action; Drama; Sport; ","27 June 1990 (USA)","6.0","76691","129","https://www.imdb.com/title/tt0099371/reviews/_ajax?ref_=undefined&paginationKey="
"Kingpin","1996","PG-13","1h 54min","Comedy; Sport; ","26 July 1996 (USA)","6.9","75490","209","https://www.imdb.com/title/tt0116778/reviews/_ajax?ref_=undefined&paginationKey="
"Hot Rod","2007","PG-13","1h 28min","Comedy; Sport; ","3 August 2007 (USA)","6.7","74811","194","https://www.imdb.com/title/tt0787475/reviews/_ajax?ref_=undefined&paginationKey="
"The Hustler","1961","Not Rated","2h 14min","Drama; Sport; ","25 September 1961 (USA)","8.0","73604","203","https://www.imdb.com/title/tt0054997/reviews/_ajax?ref_=undefined&paginationKey="
"The Color of Money","1986","R","1h 59min","Drama; Sport; ","17 October 1986 (USA)","7.0","72250","140","https://www.imdb.com/title/tt0090863/reviews/_ajax?ref_=undefined&paginationKey="
"Chak de! India","2007","Not Rated","2h 33min","Drama; Sport; ","10 August 2007 (India)","8.2","71335","112","https://www.imdb.com/title/tt0871510/reviews/_ajax?ref_=undefined&paginationKey="
"Seabiscuit","2003","PG-13","2h 20min","Drama; History; Sport; ","25 July 2003 (USA)","7.3","65167","468","https://www.imdb.com/title/tt0329575/reviews/_ajax?ref_=undefined&paginationKey="
"Run, Fat Boy, Run","2007","PG-13","1h 40min","Comedy; Romance; Sport; ","28 March 2008 (USA)","6.6","64800","151","https://www.imdb.com/title/tt0425413/reviews/_ajax?ref_=undefined&paginationKey="
"Invincible","2006","PG","1h 45min","Biography; Drama; Sport; ","25 August 2006 (USA)","7.1","64317","159","https://www.imdb.com/title/tt0445990/reviews/_ajax?ref_=undefined&paginationKey="
"Whip It","2009","PG-13","1h 51min","Drama; Sport; ","2 October 2009 (USA)","6.9","62820","129","https://www.imdb.com/title/tt1172233/reviews/_ajax?ref_=undefined&paginationKey="
"Children of Heaven","1997","PG","1h 29min","Drama; Sport; ","22 January 1999 (USA)","8.3","61338","183","https://www.imdb.com/title/tt0118849/reviews/_ajax?ref_=undefined&paginationKey="
"Major League","1989","R","1h 47min","Comedy; Sport; ","7 April 1989 (USA)","7.2","60362","120","https://www.imdb.com/title/tt0097815/reviews/_ajax?ref_=undefined&paginationKey="
"Trouble with the Curve","2012","PG-13","1h 51min","Drama; Sport; ","21 September 2012 (USA)","6.8","58790","191","https://www.imdb.com/title/tt2083383/reviews/_ajax?ref_=undefined&paginationKey="
"Bhaag Milkha Bhaag","2013","Not Rated","3h 6min","Biography; Drama; Sport; ","12 July 2013 (USA)","8.2","58777","194","https://www.imdb.com/title/tt2356180/reviews/_ajax?ref_=undefined&paginationKey="
"Wimbledon","2004","PG-13","1h 38min","Comedy; Romance; Sport; ","17 September 2004 (USA)","6.3","58729","181","https://www.imdb.com/title/tt0360201/reviews/_ajax?ref_=undefined&paginationKey="
"Friday Night Lights","2004","PG-13","1h 58min","Action; Drama; Sport; ","8 October 2004 (USA)","7.2","57615","322","https://www.imdb.com/title/tt0390022/reviews/_ajax?ref_=undefined&paginationKey="
"Point Break","2015","PG-13","1h 54min","Action; Crime; Sport; ","25 December 2015 (USA)","5.3","56913","260","https://www.imdb.com/title/tt2058673/reviews/_ajax?ref_=undefined&paginationKey="
"The Replacements","2000","PG-13","1h 58min","Comedy; Sport; ","11 August 2000 (USA)","6.6","56892","269","https://www.imdb.com/title/tt0191397/reviews/_ajax?ref_=undefined&paginationKey="
"Grudge Match","2013","PG-13","1h 53min","Comedy; Drama; Sport; ","25 December 2013 (USA)","6.4","56593","132","https://www.imdb.com/title/tt1661382/reviews/_ajax?ref_=undefined&paginationKey="
"We Are Marshall","2006","PG","2h 11min","Drama; Sport; ","22 December 2006 (USA)","7.1","56112","185","https://www.imdb.com/title/tt0758794/reviews/_ajax?ref_=undefined&paginationKey="
"BASEketball","1998","R","1h 43min","Comedy; Sport; ","31 July 1998 (USA)","6.5","55800","211","https://www.imdb.com/title/tt0131857/reviews/_ajax?ref_=undefined&paginationKey="
"Rudy","1993","PG","1h 54min","Biography; Drama; Sport; ","22 October 1993 (USA)","7.5","54400","185","https://www.imdb.com/title/tt0108002/reviews/_ajax?ref_=undefined&paginationKey="
"Chariots of Fire","1981","PG","2h 5min","Biography; Drama; Sport; ","9 April 1982 (USA)","7.2","52940","240","https://www.imdb.com/title/tt0082158/reviews/_ajax?ref_=undefined&paginationKey="
"The Legend of Bagger Vance","2000","PG-13","2h 6min","Drama; Fantasy; Sport; ","3 November 2000 (USA)","6.7","52493","278","https://www.imdb.com/title/tt0146984/reviews/_ajax?ref_=undefined&paginationKey="
"Win Win","2011","R","1h 46min","Comedy; Drama; Sport; ","15 April 2011 (USA)","7.1","52334","120","https://www.imdb.com/title/tt1606392/reviews/_ajax?ref_=undefined&paginationKey="
