"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"The Silence of the Lambs","1991","R","1h 58min","Crime; Drama; Thriller; ","14 February 1991 (USA)","8.6","1223466","1298","https://www.imdb.com/title/tt0102926/reviews/_ajax?ref_=undefined&paginationKey="
"The Departed","2006","R","2h 31min","Crime; Drama; Thriller; ","6 October 2006 (USA)","8.5","1150798","2313","https://www.imdb.com/title/tt0407887/reviews/_ajax?ref_=undefined&paginationKey="
"Memento","2000","R","1h 53min","Mystery; Thriller; ","25 May 2001 (USA)","8.4","1090298","2254","https://www.imdb.com/title/tt0209144/reviews/_ajax?ref_=undefined&paginationKey="
"Shutter Island","2010","R","2h 18min","Mystery; Thriller; ","19 February 2010 (USA)","8.1","1086350","1269","https://www.imdb.com/title/tt1130884/reviews/_ajax?ref_=undefined&paginationKey="
"Kill Bill: Vol. 1","2003","R","1h 51min","Action; Crime; Thriller; ","10 October 2003 (USA)","8.1","970445","2272","https://www.imdb.com/title/tt0266697/reviews/_ajax?ref_=undefined&paginationKey="
"The Usual Suspects","1995","R","1h 46min","Crime; Mystery; Thriller; ","16 August 1995 (USA)","8.5","961814","1355","https://www.imdb.com/title/tt0114814/reviews/_ajax?ref_=undefined&paginationKey="
"Reservoir Dogs","1992","R","1h 39min","Crime; Drama; Thriller; ","2 September 1992 (France)","8.3","889969","1145","https://www.imdb.com/title/tt0105236/reviews/_ajax?ref_=undefined&paginationKey="
"The Sixth Sense","1999","PG-13","1h 47min","Drama; Mystery; Thriller; ","6 August 1999 (USA)","8.1","888925","2223","https://www.imdb.com/title/tt0167404/reviews/_ajax?ref_=undefined&paginationKey="
"Gone Girl","2014","R","2h 29min","Drama; Mystery; Thriller; ","3 October 2014 (USA)","8.1","825453","1449","https://www.imdb.com/title/tt2267998/reviews/_ajax?ref_=undefined&paginationKey="
"No Country for Old Men","2007","R","2h 2min","Crime; Drama; Thriller; ","21 November 2007 (USA)","8.1","823139","1824","https://www.imdb.com/title/tt0477348/reviews/_ajax?ref_=undefined&paginationKey="
"Joker","2019","R","2h 2min","Crime; Drama; Thriller; ","4 October 2019 (USA)","8.5","822374","10279","https://www.imdb.com/title/tt7286456/reviews/_ajax?ref_=undefined&paginationKey="
"Die Hard","1988","R","2h 12min","Action; Thriller; ","20 July 1988 (USA)","8.2","763305","912","https://www.imdb.com/title/tt0095016/reviews/_ajax?ref_=undefined&paginationKey="
"Gravity","2013","PG-13","1h 31min","Drama; Sci-Fi; Thriller; ","4 October 2013 (USA)","7.7","751308","2090","https://www.imdb.com/title/tt1454468/reviews/_ajax?ref_=undefined&paginationKey="
"Sin City","2005","R","2h 4min","Crime; Thriller; ","1 April 2005 (USA)","8.0","731421","1777","https://www.imdb.com/title/tt0401792/reviews/_ajax?ref_=undefined&paginationKey="
"Black Swan","2010","R","1h 48min","Drama; Thriller; ","17 December 2010 (USA)","8.0","682526","1273","https://www.imdb.com/title/tt0947798/reviews/_ajax?ref_=undefined&paginationKey="
"Blade Runner","1982","R","1h 57min","Action; Sci-Fi; Thriller; ","25 June 1982 (USA)","8.1","673129","1541","https://www.imdb.com/title/tt0083658/reviews/_ajax?ref_=undefined&paginationKey="
"Kill Bill: Vol. 2","2004","R","2h 17min","Action; Crime; Thriller; ","16 April 2004 (USA)","8.0","663575","1022","https://www.imdb.com/title/tt0378194/reviews/_ajax?ref_=undefined&paginationKey="
"The Imitation Game","2014","PG-13","1h 54min","Biography; Drama; Thriller; ","25 December 2014 (USA)","8.0","662299","825","https://www.imdb.com/title/tt2084970/reviews/_ajax?ref_=undefined&paginationKey="
"District 9","2009","R","1h 52min","Action; Sci-Fi; Thriller; ","14 August 2009 (USA)","7.9","627698","1375","https://www.imdb.com/title/tt1136608/reviews/_ajax?ref_=undefined&paginationKey="
"Skyfall","2012","PG-13","2h 23min","Action; Adventure; Thriller; ","9 November 2012 (USA)","7.7","617648","1587","https://www.imdb.com/title/tt1074638/reviews/_ajax?ref_=undefined&paginationKey="
"Fargo","1996","R","1h 38min","Crime; Drama; Thriller; ","5 April 1996 (USA)","8.1","596614","947","https://www.imdb.com/title/tt0116282/reviews/_ajax?ref_=undefined&paginationKey="
"The Bourne Ultimatum","2007","PG-13","1h 55min","Action; Mystery; Thriller; ","3 August 2007 (USA)","8.0","595435","882","https://www.imdb.com/title/tt0440963/reviews/_ajax?ref_=undefined&paginationKey="
"Now You See Me","2013","PG-13","1h 55min","Crime; Mystery; Thriller; ","31 May 2013 (USA)","7.3","581644","760","https://www.imdb.com/title/tt1670345/reviews/_ajax?ref_=undefined&paginationKey="
"Psycho","1960","R","1h 49min","Horror; Mystery; Thriller; ","8 September 1960 (USA)","8.5","580962","1263","https://www.imdb.com/title/tt0054215/reviews/_ajax?ref_=undefined&paginationKey="
"Casino Royale","2006","PG-13","2h 24min","Action; Adventure; Thriller; ","17 November 2006 (USA)","8.0","566971","2401","https://www.imdb.com/title/tt0381061/reviews/_ajax?ref_=undefined&paginationKey="
"12 Monkeys","1995","R","2h 9min","Mystery; Sci-Fi; Thriller; ","5 January 1996 (USA)","8.0","565403","641","https://www.imdb.com/title/tt0114746/reviews/_ajax?ref_=undefined&paginationKey="
"Argo","2012","R","2h","Biography; Drama; Thriller; ","12 October 2012 (USA)","7.7","560357","789","https://www.imdb.com/title/tt1024648/reviews/_ajax?ref_=undefined&paginationKey="
"Heat","1995","R","2h 50min","Crime; Drama; Thriller; ","15 December 1995 (USA)","8.2","557731","1074","https://www.imdb.com/title/tt0113277/reviews/_ajax?ref_=undefined&paginationKey="
"Taken","2008","PG-13","1h 30min","Action; Thriller; ","30 January 2009 (USA)","7.8","555825","1056","https://www.imdb.com/title/tt0936501/reviews/_ajax?ref_=undefined&paginationKey="
"Jaws","1975","PG","2h 4min","Adventure; Thriller; ","20 June 1975 (USA)","8.0","531984","1203","https://www.imdb.com/title/tt0073195/reviews/_ajax?ref_=undefined&paginationKey="
"Limitless","2011","PG-13","1h 45min","Sci-Fi; Thriller; ","18 March 2011 (USA)","7.4","516619","485","https://www.imdb.com/title/tt1219289/reviews/_ajax?ref_=undefined&paginationKey="
"John Wick","2014","R","1h 41min","Action; Crime; Thriller; ","24 October 2014 (USA)","7.4","514556","1157","https://www.imdb.com/title/tt2911666/reviews/_ajax?ref_=undefined&paginationKey="
"X2: X-Men United","2003","PG-13","2h 14min","Action; Sci-Fi; Thriller; ","2 May 2003 (USA)","7.4","501727","1105","https://www.imdb.com/title/tt0290334/reviews/_ajax?ref_=undefined&paginationKey="
"Ocean's Eleven","2001","PG-13","1h 56min","Crime; Thriller; ","7 December 2001 (USA)","7.7","500923","932","https://www.imdb.com/title/tt0240772/reviews/_ajax?ref_=undefined&paginationKey="
"The Bourne Identity","2002","PG-13","1h 59min","Action; Mystery; Thriller; ","14 June 2002 (USA)","7.9","496182","912","https://www.imdb.com/title/tt0258463/reviews/_ajax?ref_=undefined&paginationKey="
"Blood Diamond","2006","R","2h 23min","Adventure; Drama; Thriller; ","8 December 2006 (USA)","8.0","486643","725","https://www.imdb.com/title/tt0450259/reviews/_ajax?ref_=undefined&paginationKey="
"Get Out","2017","R","1h 44min","Horror; Mystery; Thriller; ","24 February 2017 (USA)","7.7","465583","1566","https://www.imdb.com/title/tt5052448/reviews/_ajax?ref_=undefined&paginationKey="
"Children of Men","2006","R","1h 49min","Drama; Sci-Fi; Thriller; ","5 January 2007 (USA)","7.9","452558","1342","https://www.imdb.com/title/tt0206634/reviews/_ajax?ref_=undefined&paginationKey="
"Mission: Impossible - Ghost Protocol","2011","PG-13","2h 12min","Action; Adventure; Thriller; ","21 December 2011 (USA)","7.4","447114","576","https://www.imdb.com/title/tt1229238/reviews/_ajax?ref_=undefined&paginationKey="
"Nightcrawler","2014","R","1h 57min","Crime; Drama; Thriller; ","31 October 2014 (USA)","7.9","443662","758","https://www.imdb.com/title/tt2872718/reviews/_ajax?ref_=undefined&paginationKey="
"Parasite","2019","R","2h 12min","Comedy; Drama; Thriller; ","8 November 2019 (USA)","8.6","442239","2595","https://www.imdb.com/title/tt6751668/reviews/_ajax?ref_=undefined&paginationKey="
"The Butterfly Effect","2004","R","1h 53min","Drama; Sci-Fi; Thriller; ","23 January 2004 (USA)","7.6","441951","1180","https://www.imdb.com/title/tt0289879/reviews/_ajax?ref_=undefined&paginationKey="
"Lucy","2014","R","1h 29min","Action; Sci-Fi; Thriller; ","25 July 2014 (USA)","6.4","430676","1137","https://www.imdb.com/title/tt2872732/reviews/_ajax?ref_=undefined&paginationKey="
"Rear Window","1954","PG","1h 52min","Mystery; Thriller; ","September 1954 (USA)","8.4","428646","838","https://www.imdb.com/title/tt0047396/reviews/_ajax?ref_=undefined&paginationKey="
"The Conjuring","2013","R","1h 52min","Horror; Mystery; Thriller; ","19 July 2013 (USA)","7.5","427069","1054","https://www.imdb.com/title/tt1457767/reviews/_ajax?ref_=undefined&paginationKey="
"The Bourne Supremacy","2004","PG-13","1h 48min","Action; Mystery; Thriller; ","23 July 2004 (USA)","7.7","424858","847","https://www.imdb.com/title/tt0372183/reviews/_ajax?ref_=undefined&paginationKey="
"Crash","2004","R","1h 52min","Crime; Drama; Thriller; ","6 May 2005 (USA)","7.7","413655","1693","https://www.imdb.com/title/tt0375679/reviews/_ajax?ref_=undefined&paginationKey="
"The Hurt Locker","2008","R","2h 11min","Drama; Thriller; War; ","31 July 2009 (USA)","7.6","411933","973","https://www.imdb.com/title/tt0887912/reviews/_ajax?ref_=undefined&paginationKey="
"War of the Worlds","2005","PG-13","1h 56min","Adventure; Sci-Fi; Thriller; ","29 June 2005 (USA)","6.5","406710","2838","https://www.imdb.com/title/tt0407304/reviews/_ajax?ref_=undefined&paginationKey="
"Split","2016","PG-13","1h 57min","Horror; Thriller; ","20 January 2017 (USA)","7.3","404540","986","https://www.imdb.com/title/tt4972582/reviews/_ajax?ref_=undefined&paginationKey="
"Quantum of Solace","2008","PG-13","1h 46min","Action; Adventure; Thriller; ","14 November 2008 (USA)","6.6","395714","1316","https://www.imdb.com/title/tt0830515/reviews/_ajax?ref_=undefined&paginationKey="
"The Da Vinci Code","2006","PG-13","2h 29min","Mystery; Thriller; ","19 May 2006 (USA)","6.6","390693","2019","https://www.imdb.com/title/tt0382625/reviews/_ajax?ref_=undefined&paginationKey="
"Live Free or Die Hard","2007","PG-13","2h 8min","Action; Thriller; ","27 June 2007 (USA)","7.1","382657","824","https://www.imdb.com/title/tt0337978/reviews/_ajax?ref_=undefined&paginationKey="
"Training Day","2001","R","2h 2min","Crime; Drama; Thriller; ","5 October 2001 (USA)","7.7","378414","711","https://www.imdb.com/title/tt0139654/reviews/_ajax?ref_=undefined&paginationKey="
"Mission: Impossible","1996","PG-13","1h 50min","Action; Adventure; Thriller; ","22 May 1996 (USA)","7.1","377738","450","https://www.imdb.com/title/tt0117060/reviews/_ajax?ref_=undefined&paginationKey="
"Spectre","2015","PG-13","2h 28min","Action; Adventure; Thriller; ","6 November 2015 (USA)","6.8","374071","1152","https://www.imdb.com/title/tt2379713/reviews/_ajax?ref_=undefined&paginationKey="
"In Time","2011","PG-13","1h 49min","Action; Sci-Fi; Thriller; ","28 October 2011 (USA)","6.7","361536","533","https://www.imdb.com/title/tt1637688/reviews/_ajax?ref_=undefined&paginationKey="
"Fast & Furious 6","2013","PG-13","2h 10min","Action; Adventure; Thriller; ","24 May 2013 (USA)","7.1","361499","492","https://www.imdb.com/title/tt1905041/reviews/_ajax?ref_=undefined&paginationKey="
"Die Hard with a Vengeance","1995","R","2h 8min","Action; Adventure; Thriller; ","19 May 1995 (USA)","7.6","355455","384","https://www.imdb.com/title/tt0112864/reviews/_ajax?ref_=undefined&paginationKey="
"Room","2015","R","1h 58min","Drama; Thriller; ","22 January 2016 (USA)","8.1","352682","662","https://www.imdb.com/title/tt3170832/reviews/_ajax?ref_=undefined&paginationKey="
"Furious 7","2015","PG-13","2h 17min","Action; Adventure; Thriller; ","3 April 2015 (USA)","7.1","351611","739","https://www.imdb.com/title/tt2820852/reviews/_ajax?ref_=undefined&paginationKey="
"Collateral","2004","R","2h","Crime; Drama; Thriller; ","6 August 2004 (USA)","7.5","350031","890","https://www.imdb.com/title/tt0369339/reviews/_ajax?ref_=undefined&paginationKey="
"Ocean's Twelve","2004","PG-13","2h 5min","Crime; Thriller; ","10 December 2004 (USA)","6.5","349319","669","https://www.imdb.com/title/tt0349903/reviews/_ajax?ref_=undefined&paginationKey="
"The Machinist","2004","R","1h 41min","Drama; Thriller; ","3 December 2004 (USA)","7.7","348658","538","https://www.imdb.com/title/tt0361862/reviews/_ajax?ref_=undefined&paginationKey="
"Vertigo","1958","PG","2h 8min","Mystery; Romance; Thriller; ","22 May 1958 (UK)","8.3","348553","848","https://www.imdb.com/title/tt0052357/reviews/_ajax?ref_=undefined&paginationKey="
"John Wick: Chapter 2","2017","R","2h 2min","Action; Crime; Thriller; ","10 February 2017 (USA)","7.5","347583","860","https://www.imdb.com/title/tt4425200/reviews/_ajax?ref_=undefined&paginationKey="
"The Lives of Others","2006","R","2h 17min","Drama; Mystery; Thriller; ","30 March 2007 (USA)","8.4","346768","510","https://www.imdb.com/title/tt0405094/reviews/_ajax?ref_=undefined&paginationKey="
