"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"Inglourious Basterds","2009","R","2h 33min","Adventure; Drama; War; ","21 August 2009 (USA)","8.3","1219382","1856","https://www.imdb.com/title/tt0361748/reviews/_ajax?ref_=undefined&paginationKey="
"Saving Private Ryan","1998","R","2h 49min","Drama; War; ","24 July 1998 (USA)","8.6","1194206","2588","https://www.imdb.com/title/tt0120815/reviews/_ajax?ref_=undefined&paginationKey="
"Full Metal Jacket","1987","R","1h 56min","Drama; War; ","10 July 1987 (USA)","8.3","652866","844","https://www.imdb.com/title/tt0093058/reviews/_ajax?ref_=undefined&paginationKey="
"Pan's Labyrinth","2006","R","1h 58min","Drama; Fantasy; War; ","19 January 2007 (USA)","8.2","603272","1271","https://www.imdb.com/title/tt0457430/reviews/_ajax?ref_=undefined&paginationKey="
"Apocalypse Now","1979","R","2h 27min","Drama; Mystery; War; ","15 August 1979 (USA)","8.4","585990","1183","https://www.imdb.com/title/tt0078788/reviews/_ajax?ref_=undefined&paginationKey="
"Casablanca","1942","PG","1h 42min","Drama; Romance; War; ","23 January 1943 (USA)","8.5","506227","1292","https://www.imdb.com/title/tt0034583/reviews/_ajax?ref_=undefined&paginationKey="
"Fury","2014","R","2h 14min","Action; Drama; War; ","17 October 2014 (USA)","7.6","411964","929","https://www.imdb.com/title/tt2713180/reviews/_ajax?ref_=undefined&paginationKey="
"The Hurt Locker","2008","R","2h 11min","Drama; Thriller; War; ","31 July 2009 (USA)","7.6","411933","973","https://www.imdb.com/title/tt0887912/reviews/_ajax?ref_=undefined&paginationKey="
"The Last Samurai","2003","R","2h 34min","Action; Drama; War; ","5 December 2003 (USA)","7.7","389279","1030","https://www.imdb.com/title/tt0325710/reviews/_ajax?ref_=undefined&paginationKey="
"Platoon","1986","R","2h","Drama; War; ","6 February 1987 (USA)","8.1","370941","603","https://www.imdb.com/title/tt0091763/reviews/_ajax?ref_=undefined&paginationKey="
"Tropic Thunder","2008","R","1h 47min","Action; Comedy; War; ","13 August 2008 (USA)","7.0","369926","629","https://www.imdb.com/title/tt0942385/reviews/_ajax?ref_=undefined&paginationKey="
"Black Hawk Down","2001","R","2h 24min","Drama; History; War; ","18 January 2002 (USA)","7.7","356187","1153","https://www.imdb.com/title/tt0265086/reviews/_ajax?ref_=undefined&paginationKey="
"1917","2019","R","1h 59min","Drama; War; ","10 January 2020 (USA)","8.3","339629","2745","https://www.imdb.com/title/tt8579674/reviews/_ajax?ref_=undefined&paginationKey="
"The Deer Hunter","1978","R","3h 3min","Drama; War; ","23 February 1979 (USA)","8.1","302090","1138","https://www.imdb.com/title/tt0077416/reviews/_ajax?ref_=undefined&paginationKey="
"Enemy at the Gates","2001","R","2h 11min","Drama; History; War; ","16 March 2001 (USA)","7.6","236664","706","https://www.imdb.com/title/tt0215750/reviews/_ajax?ref_=undefined&paginationKey="
"Jojo Rabbit","2019","PG-13","1h 48min","Comedy; Drama; War; ","8 November 2019 (USA)","7.9","234610","1334","https://www.imdb.com/title/tt2584384/reviews/_ajax?ref_=undefined&paginationKey="
"Grave of the Fireflies","1988","Not Rated","1h 29min","Animation; Drama; War; ","26 July 1989 (USA)","8.5","221961","707","https://www.imdb.com/title/tt0095327/reviews/_ajax?ref_=undefined&paginationKey="
"The Bridge on the River Kwai","1957","PG","2h 41min","Adventure; Drama; War; ","14 December 1957 (USA)","8.1","197254","327","https://www.imdb.com/title/tt0050212/reviews/_ajax?ref_=undefined&paginationKey="
"The Great Dictator","1940","Passed","2h 5min","Comedy; Drama; War; ","7 March 1941 (USA)","8.4","195477","260","https://www.imdb.com/title/tt0032553/reviews/_ajax?ref_=undefined&paginationKey="
"The Boy in the Striped Pajamas","2008","PG-13","1h 34min","Drama; War; ","26 November 2008 (USA)","7.8","184484","482","https://www.imdb.com/title/tt0914798/reviews/_ajax?ref_=undefined&paginationKey="
"The English Patient","1996","R","2h 42min","Drama; Romance; War; ","6 December 1996 (USA)","7.4","174451","510","https://www.imdb.com/title/tt0116209/reviews/_ajax?ref_=undefined&paginationKey="
"Paths of Glory","1957","Approved","1h 28min","Drama; War; ","25 December 1957 (USA)","8.4","170708","424","https://www.imdb.com/title/tt0050825/reviews/_ajax?ref_=undefined&paginationKey="
"The Thin Red Line","1998","R","2h 50min","Drama; War; ","15 January 1999 (USA)","7.6","168244","1498","https://www.imdb.com/title/tt0120863/reviews/_ajax?ref_=undefined&paginationKey="
"Legends of the Fall","1994","R","2h 13min","Drama; Romance; War; ","13 January 1995 (USA)","7.6","143280","399","https://www.imdb.com/title/tt0110322/reviews/_ajax?ref_=undefined&paginationKey="
"Incendies","2010","R","2h 11min","Drama; Mystery; War; ","12 January 2011 (France)","8.3","140182","244","https://www.imdb.com/title/tt1255953/reviews/_ajax?ref_=undefined&paginationKey="
"Dear John","2010","PG-13","1h 48min","Drama; Romance; War; ","5 February 2010 (USA)","6.3","135449","228","https://www.imdb.com/title/tt0989757/reviews/_ajax?ref_=undefined&paginationKey="
"The Men Who Stare at Goats","2009","R","1h 34min","Comedy; War; ","6 November 2009 (USA)","6.2","125141","295","https://www.imdb.com/title/tt1234548/reviews/_ajax?ref_=undefined&paginationKey="
"The Book Thief","2013","PG-13","2h 11min","Drama; War; ","27 November 2013 (USA)","7.6","124617","286","https://www.imdb.com/title/tt0816442/reviews/_ajax?ref_=undefined&paginationKey="
"13 Hours","2016","R","2h 24min","Action; Drama; War; ","15 January 2016 (USA)","7.3","113586","358","https://www.imdb.com/title/tt4172430/reviews/_ajax?ref_=undefined&paginationKey="
"Ran","1985","R","2h 42min","Action; Drama; War; ","1 June 1985 (Japan)","8.2","107488","279","https://www.imdb.com/title/tt0089881/reviews/_ajax?ref_=undefined&paginationKey="
"The Mountain II","2016","Null","2h 15min","Action; Drama; War; ","4 November 2016 (Turkey)","8.9","103674","146","https://www.imdb.com/title/tt5813916/reviews/_ajax?ref_=undefined&paginationKey="
"Born on the Fourth of July","1989","R","2h 25min","Biography; Drama; War; ","5 January 1990 (USA)","7.2","95537","204","https://www.imdb.com/title/tt0096969/reviews/_ajax?ref_=undefined&paginationKey="
"Patton","1970","GP","2h 52min","Biography; Drama; War; ","2 April 1970 (USA)","7.9","91924","287","https://www.imdb.com/title/tt0066206/reviews/_ajax?ref_=undefined&paginationKey="
"U-571","2000","PG-13","1h 56min","Action; War; ","21 April 2000 (USA)","6.6","75183","631","https://www.imdb.com/title/tt0141926/reviews/_ajax?ref_=undefined&paginationKey="
"G.I. Jane","1997","R","2h 5min","Action; Drama; War; ","22 August 1997 (USA)","5.9","71669","150","https://www.imdb.com/title/tt0119173/reviews/_ajax?ref_=undefined&paginationKey="
"Black Book","2006","R","2h 25min","Drama; Thriller; War; ","18 May 2007 (USA)","7.7","71193","248","https://www.imdb.com/title/tt0389557/reviews/_ajax?ref_=undefined&paginationKey="
"Beasts of No Nation","2015","Not Rated","2h 17min","Drama; War; ","16 October 2015 (USA)","7.7","70819","169","https://www.imdb.com/title/tt1365050/reviews/_ajax?ref_=undefined&paginationKey="
"The Water Diviner","2014","R","1h 51min","Drama; History; War; ","17 April 2015 (India)","7.0","69915","223","https://www.imdb.com/title/tt3007512/reviews/_ajax?ref_=undefined&paginationKey="
"Doctor Zhivago","1965","PG-13","3h 17min","Drama; Romance; War; ","31 December 1965 (USA)","8.0","67798","295","https://www.imdb.com/title/tt0059113/reviews/_ajax?ref_=undefined&paginationKey="
"Judgment at Nuremberg","1961","Approved","2h 59min","Drama; War; ","18 December 1961 (Sweden)","8.2","66650","212","https://www.imdb.com/title/tt0055031/reviews/_ajax?ref_=undefined&paginationKey="
"MASH","1970","R","1h 56min","Comedy; Drama; War; ","18 March 1970 (USA)","7.5","66087","254","https://www.imdb.com/title/tt0066026/reviews/_ajax?ref_=undefined&paginationKey="
"The Dirty Dozen","1967","Not Rated","2h 30min","Action; Adventure; War; ","22 October 1967 (UK)","7.7","65283","190","https://www.imdb.com/title/tt0061578/reviews/_ajax?ref_=undefined&paginationKey="
"Windtalkers","2002","R","2h 14min","Action; Drama; War; ","14 June 2002 (USA)","6.1","64349","461","https://www.imdb.com/title/tt0245562/reviews/_ajax?ref_=undefined&paginationKey="
"Stripes","1981","R","1h 46min","Comedy; War; ","26 June 1981 (USA)","6.9","63335","165","https://www.imdb.com/title/tt0083131/reviews/_ajax?ref_=undefined&paginationKey="
"All Quiet on the Western Front","1930","Not Rated","2h 32min","Drama; War; ","24 August 1930 (USA)","8.0","55980","239","https://www.imdb.com/title/tt0020629/reviews/_ajax?ref_=undefined&paginationKey="
"The Best Years of Our Lives","1946","Approved","2h 50min","Drama; Romance; War; ","29 May 1947 (Mexico)","8.0","55935","285","https://www.imdb.com/title/tt0036868/reviews/_ajax?ref_=undefined&paginationKey="
"Duck Soup","1933","Not Rated","1h 9min","Comedy; War; ","17 November 1933 (USA)","7.8","54450","280","https://www.imdb.com/title/tt0023969/reviews/_ajax?ref_=undefined&paginationKey="
"Underground","1995","Not Rated","2h 47min","Comedy; Drama; War; ","20 June 1997 (USA)","8.1","53854","145","https://www.imdb.com/title/tt0114787/reviews/_ajax?ref_=undefined&paginationKey="
"Salò, or the 120 Days of Sodom","1975","Not Rated","1h 57min","Drama; Horror; War; ","19 May 1976 (France)","5.9","52316","428","https://www.imdb.com/title/tt0073650/reviews/_ajax?ref_=undefined&paginationKey="
"Come and See","1985","Not Rated","2h 22min","Drama; War; ","17 October 1985 (Hungary)","8.3","52118","501","https://www.imdb.com/title/tt0091251/reviews/_ajax?ref_=undefined&paginationKey="
"Macbeth","2015","R","1h 53min","Drama; History; War; ","11 December 2015 (USA)","6.6","51644","219","https://www.imdb.com/title/tt2884018/reviews/_ajax?ref_=undefined&paginationKey="
"The Battle of Algiers","1966","Not Rated","2h 1min","Drama; War; ","20 September 1967 (USA)","8.1","50367","286","https://www.imdb.com/title/tt0058946/reviews/_ajax?ref_=undefined&paginationKey="
"Where Eagles Dare","1968","M/PG","2h 38min","Action; Adventure; War; ","12 March 1969 (USA)","7.7","50313","270","https://www.imdb.com/title/tt0065207/reviews/_ajax?ref_=undefined&paginationKey="
"A Bridge Too Far","1977","PG","2h 55min","Drama; History; War; ","15 June 1977 (USA)","7.4","50196","248","https://www.imdb.com/title/tt0075784/reviews/_ajax?ref_=undefined&paginationKey="
"Stalag 17","1953","Not Rated","2h","Comedy; Drama; War; ","10 August 1953 (Brazil)","8.0","50069","161","https://www.imdb.com/title/tt0046359/reviews/_ajax?ref_=undefined&paginationKey="
"Hart's War","2002","R","2h 5min","Drama; War; ","15 February 2002 (USA)","6.3","50062","202","https://www.imdb.com/title/tt0251114/reviews/_ajax?ref_=undefined&paginationKey="
