Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,month,mean_month
1/1/1948,10,8.0,7.0,january,4.493981704381319
1/2/1948,6,4.0,3.0,january,4.493981704381319
1/3/1948,7,4.0,2.0,january,4.493981704381319
1/4/1948,7,4.0,2.0,january,4.493981704381319
1/5/1948,7,3.0,0.0,january,4.493981704381319
1/6/1948,9,7.0,5.0,january,4.493981704381319
1/7/1948,10,7.0,4.0,january,4.493981704381319
1/8/1948,8,5.0,2.0,january,4.493981704381319
1/9/1948,9,4.0,1.0,january,4.493981704381319
1/10/1948,6,4.0,2.0,january,4.493981704381319
1/11/1948,5,3.0,1.0,january,4.493981704381319
1/12/1948,5,1.0,-2.0,january,4.493981704381319
1/13/1948,7,3.0,-1.0,january,4.493981704381319
1/14/1948,3,0.0,-3.0,january,4.493981704381319
1/15/1948,1,1.0,0.0,january,4.493981704381319
1/16/1948,1,-1.0,-2.0,january,4.493981704381319
1/17/1948,1,0.0,-1.0,january,4.493981704381319
1/18/1948,1,0.0,-1.0,january,4.493981704381319
1/19/1948,1,-1.0,-2.0,january,4.493981704381319
1/20/1948,2,1.0,-1.0,january,4.493981704381319
1/21/1948,8,4.0,1.0,january,4.493981704381319
1/22/1948,8,7.0,5.0,january,4.493981704381319
1/23/1948,8,7.0,7.0,january,4.493981704381319
1/24/1948,6,4.0,2.0,january,4.493981704381319
1/25/1948,8,4.0,0.0,january,4.493981704381319
1/26/1948,7,4.0,1.0,january,4.493981704381319
1/27/1948,11,6.0,1.0,january,4.493981704381319
1/28/1948,12,4.0,-3.0,january,4.493981704381319
1/29/1948,6,3.0,2.0,january,4.493981704381319
1/30/1948,8,3.0,-1.0,january,4.493981704381319
1/31/1948,1,-1.0,-2.0,january,4.493981704381319
2/1/1948,4,2.0,0.0,february,6.053022269353129
2/2/1948,6,2.0,-2.0,february,6.053022269353129
2/3/1948,3,0.0,-2.0,february,6.053022269353129
2/4/1948,4,2.0,0.0,february,6.053022269353129
2/5/1948,2,0.0,-2.0,february,6.053022269353129
2/6/1948,6,0.0,-6.0,february,6.053022269353129
2/7/1948,6,2.0,-2.0,february,6.053022269353129
2/8/1948,6,4.0,3.0,february,6.053022269353129
2/9/1948,6,3.0,1.0,february,6.053022269353129
2/10/1948,3,0.0,-2.0,february,6.053022269353129
2/11/1948,7,1.0,-4.0,february,6.053022269353129
2/12/1948,6,2.0,-2.0,february,6.053022269353129
2/13/1948,8,6.0,3.0,february,6.053022269353129
2/14/1948,7,6.0,5.0,february,6.053022269353129
2/15/1948,6,4.0,3.0,february,6.053022269353129
2/16/1948,11,7.0,3.0,february,6.053022269353129
2/17/1948,13,10.0,8.0,february,6.053022269353129
2/18/1948,8,4.0,1.0,february,6.053022269353129
2/19/1948,6,3.0,0.0,february,6.053022269353129
2/20/1948,7,4.0,2.0,february,6.053022269353129
2/21/1948,9,7.0,4.0,february,6.053022269353129
2/22/1948,8,6.0,4.0,february,6.053022269353129
2/23/1948,8,6.0,3.0,february,6.053022269353129
2/24/1948,7,4.0,3.0,february,6.053022269353129
2/25/1948,8,7.0,6.0,february,6.053022269353129
2/26/1948,9,7.0,4.0,february,6.053022269353129
2/27/1948,8,6.0,3.0,february,6.053022269353129
