age,cups,favorite,caffeine,why_drink,taste,gender,education_level,employment_status
45-54 years old,2,Regular drip coffee,Full caffeine,It tastes good,Yes,Male,Master's degree,Employed full-time
25-34 years old,2,Pourover,Full caffeine,"It tastes good, I need the caffeine",Yes,Male,Master's degree,Unemployed
35-44 years old,1,Iced coffee,Full caffeine,It tastes good,Yes,Male,Bachelor's degree,Employed full-time
45-54 years old,More than 4,Pourover,Full caffeine,"It tastes good, I need the caffeine, I need the ritual",Yes,Male,Bachelor's degree,Employed full-time
35-44 years old,2,Cappuccino,Full caffeine,"I need the ritual, It tastes good",Yes,Male,Less than high school,Unemployed
45-54 years old,2,Pourover,Full caffeine,"It tastes good, I need the caffeine",Yes,Male,Bachelor's degree,Employed full-time
35-44 years old,2,Latte,Full caffeine,"It tastes good, I need the caffeine",Yes,Male,Bachelor's degree,Employed full-time
45-54 years old,Less than 1,Iced coffee,Half caff,"It tastes good, I need the caffeine",Yes,Male,Some college or associate's degree,Employed full-time
35-44 years old,1,Americano,Full caffeine,"I need the ritual, It tastes good",Yes,Female,Bachelor's degree,Employed full-time
35-44 years old,3,Espresso,Half caff,"It tastes good, I need the caffeine, I need the ritual",Yes,Male,Doctorate or professional degree,Employed full-time
25-34 years old,2,Cortado,Full caffeine,"It tastes good, I need the ritual",Yes,Male,Bachelor's degree,Employed full-time
35-44 years old,2,Cold brew,Full caffeine,"I need the ritual, It tastes good, I need the caffeine",Yes,Male,Bachelor's degree,Employed full-time
25-34 years old,More than 4,Cappuccino,Full caffeine,"I need the ritual, I need the caffeine, It tastes good",Yes,Male,Bachelor's degree,Employed full-time
35-44 years old,More than 4,Espresso,Full caffeine,"It tastes good, I need the caffeine, I need the ritual",Yes,Male,Master's degree,Employed full-time
25-34 years old,2,Cappuccino,Full caffeine,"It tastes good, I need the ritual",Yes,Male,Bachelor's degree,Employed full-time
45-54 years old,More than 4,Espresso,Full caffeine,"It tastes good, I need the ritual, I need the caffeine",Yes,Male,Master's degree,Employed full-time
35-44 years old,2,Latte,Full caffeine,"It tastes good, I need the caffeine, I need the ritual",Yes,Male,Some college or associate's degree,Employed full-time
25-34 years old,1,Latte,Full caffeine,I need the ritual,Yes,Male,Bachelor's degree,Employed full-time
25-34 years old,2,Iced coffee,Full caffeine,"It tastes good, I need the caffeine",Yes,Male,Bachelor's degree,Employed full-time
25-34 years old,2,Pourover,Full caffeine,"It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom",Yes,Male,Bachelor's degree,Employed full-time
45-54 years old,2,Cappuccino,Full caffeine,"It tastes good, I need the caffeine, I need the ritual",Yes,Male,Master's degree,Employed full-time
25-34 years old,2,Pourover,Full caffeine,It tastes good,Yes,Male,Master's degree,Employed full-time
35-44 years old,1,Cold brew,Full caffeine,"It tastes good, I need the caffeine",Yes,Female,Bachelor's degree,Unemployed
35-44 years old,2,Espresso,Full caffeine,It tastes good,Yes,Male,Doctorate or professional degree,Employed full-time
25-34 years old,3,Latte,Full caffeine,It tastes good,Yes,Male,Master's degree,Employed full-time
